"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","206","2.762","19.4","12.1","17.5","18.0","28.6","1.5","2.9",".",".",".",".",".",".",".",".","."
"","100","002","232","2.641","10.3","14.2","19.8","17.7","32.8","2.6","2.2",".",".",".",".",".",".","0.4",".","."
"General Anthropology","","Course Total","438","2.698","14.6","13.2","18.7","17.8","30.8","2.1","2.5",".",".",".",".",".",".","0.2",".","."
"Archaeology & Prehist World","102","001","130","2.758","13.8","13.1","20.8","16.2","28.5","2.3","0.8","4.6",".",".",".",".",".",".",".","."
"","104","001","575","3.304","23.0","34.8","27.8","10.4","2.4","0.7","0.3","0.3",".",".",".",".","0.2",".",".","."
"","104","002","568","3.358","23.1","41.0","25.7","6.5","1.9","0.9","0.4","0.2",".",".",".",".","0.2",".",".","0.2"
"Cult Anthro&Human Diversity","","Course Total","1143","3.331","23.0","37.9","26.8","8.5","2.2","0.8","0.3","0.3",".",".",".",".","0.2",".",".","0.1"
"Principles - Biological Anthro","105","001","229","2.782","19.7","7.9","26.2","10.9","31.0","1.7","1.7",".",".",".",".",".",".",".","0.4","0.4"
"Principles of Archaeology","112","001","124","2.732","23.4","9.7","19.4","6.5","33.1","3.2","4.0","0.8",".",".",".",".",".",".",".","."
"Fr/Soph Seminar in Anthro","120","001","19","3.026","5.3","36.8","21.1","31.6","5.3",".",".",".",".",".",".",".",".",".",".","."
"Global Language Issues","211","001","18","3.688","55.6","11.1","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","26","3.174","23.1","30.8","7.7","7.7","19.2",".",".","7.7",".",".",".",".",".",".","3.8","."
"Cult Anthro:Thry&Ethnogrphy","300","001","61","3.230","41.0","11.5","27.9","4.9","9.8","3.3","1.6",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","14","3.143","21.4","50.0","7.1","7.1","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"Hominoid Evolution","302","001","58","3.518","41.4","46.6","1.7",".",".",".","5.2",".",".",".",".",".",".","3.4","1.7","."
"Topics in Archaeology","310","001","38","2.639","21.1","2.6","21.1","7.9","34.2","5.3","2.6","2.6",".",".",".",".",".",".","2.6","."
"Indians of North America","314","001","109","3.574","51.4","25.7","14.7","3.7","1.8","1.8",".",".",".",".",".",".",".","0.9",".","."
"Anthropology of Religion","343","001","15","3.564","46.7","13.3","26.7","6.7",".",".",".",".",".",".",".",".",".",".","6.7","."
"Elementary Quechua","361","001","11","3.900","72.7","18.2",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Intermediate Quechua","363","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Medical Anthropology","365","001","33","3.288","30.3","30.3","21.2","9.1","6.1","3.0",".",".",".",".",".",".",".",".",".","."
"Peoples&Cult-Cent&East Europe","369","001","34","3.623","58.8","17.6","14.7","5.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"First Semester Yucatec Maya","376","001","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"American Indian Folklore","431","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Primate Behavioral Ecology","458","001","78","3.201","34.6","20.5","15.4","14.1","10.3","3.8",".","1.3",".",".",".",".",".",".",".","."
"Anthropology of South Asia","462","001","14","3.429","57.1","14.3","21.4",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","490","001","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","002","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","003","15","3.464","20.0","46.7","26.7",".",".",".",".",".",".",".",".",".",".","6.7",".","."
"Undergraduate Seminar","","Course Total","46","3.722","58.7","23.9","15.2",".",".",".",".",".",".",".",".",".",".","2.2",".","."
"Folklore-Festivls&Celebratn","539","001","7","3.571","57.1","28.6",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Anthropology and Education","570","001","18","3.694","50.0","38.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnicity, Nations&Nationalism","606","001","13","3.841","84.6",".","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","059","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","062","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Senior Honors Thesis","682","079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","690","003","12","3.825","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Problems in Anthropology","","Course Total","16","3.868","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
