"","CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","","",""
"","466","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","466","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-Music:Elem","","Course Total","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","467","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","467","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-Music:Secndry","","Course Total","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching Engl-Mid Schl","472","001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach-Science in H.S.","490","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Student Teaching in HS Math","494","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach Sci-MiddleSchl","495","001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching-English in HS","496","001","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach-Middle Schl Math","497","001","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching-Middle School","498","001","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Literacy & Language Developmnt","500","001","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Health Info for Teachers","501","001","","74","3.872","79.7","16.2","2.7","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"","506","001","","29","3.776","55.2","44.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506","002","","26","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506","003","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506","004","","22","3.909","86.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506","005","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","","Course Total","","128","3.918","84.4","14.8","0.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Instrctnl Computn-Schools I","514","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Holocaust: Hist, Memory & Educ","515","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Curric in Agri-sci Educ","523","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Pract-Teach Soc Studies","559","001","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teacher Ed-Human Sexuality","561","001","","9","3.667","66.7","22.2",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Iss, Mtls & Mthds-Hlth Educ","567","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Pract-Teaching Science","590","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Prac-Tch Engl Secn Schl","596","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Instructn w/Technol","600","001","","13","4.000","92.3",".",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Seminar on Literacy","604","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Criticl Educ Pract-Internet","606","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Instrctnl Comptn-Schools II","614","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","620","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literature and Literacy","632","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Early Childhood Education","660","001","","20","3.625","70.0","15.0","10.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"Issues in ESL Education","672","001","","8","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Methods in Teaching ESL","674","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675","001","","17","3.853","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Section Total","","23","3.868","78.3","21.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","","Page 83 of 410"
