"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Intro-Theatre & Dramatic Lit","120
001","399","3.402","37.6","28.1","22.6","4.8","4.5","1.8","0.8",".",".",".",".",".",".",".",".","."
"Voice Training","140
001","19","3.053","26.3","31.6","26.3",".","5.3",".","10.5",".",".",".",".",".",".",".",".","."
"","150
001","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
150","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
150","17","3.735","70.6","11.8","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","006
150","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
150","17","3.824","76.5","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
150","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
150","18","3.639","66.7","5.6","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","010
150","15","3.833","80.0","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Acting","Course Total","131","3.859","83.2","8.4","5.3","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Stage Production","001
160","22","3.659","54.5","22.7","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
161","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
161","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","004
161","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","005
161","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","007
161","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","009
161","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
162","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
162","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
162","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Theatre Production Laboratory","Course Total","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History-Theatrical Production","224
001","56","3.143","16.1","42.9","16.1","14.3","7.1","1.8","1.8",".",".",".",".",".",".",".",".","."
"Intermediate Voice Training","001
240","19","3.632","63.2","15.8","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","250
001","20","3.825","75.0","20.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals-Costumes Technol","263
001","6","3.083","16.7","33.3","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Stagecraft","270
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"African Dance Performance","277
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","022
299","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Intro-Africn-Amer Performnc","329
001","13","3.256","15.4","38.5","38.5",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Lit in Transl-Henrik Ibsen","335
001","7","3.500","14.3","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals-Movemnt for Stage","342
001","16","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acting Realism","350
001","14","3.357","42.9","14.3","35.7",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"","357
001","23","3.804","73.9","17.4","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","002
357","18","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Theatre-Cultrl&Soc Aware","Course Total","41","3.793","65.9","29.3","2.4","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory II","001
361","14","3.944","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
001","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
362","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
