"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","",""
"LAW","","","","","","","","","","","","","","","","","","","","",""
"LAW","College Total","4143","1.328","11.2","1.2","17.0","0.1","3.0","0.5","0.1","19.0","",".",".",".","",".","0.1",".","0.1","1.0"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"LAW","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"Junior","","1","",".",".",".",".",".",".",".","100.0","",".",".",".","",".",".",".",".","."
"Senior","","4","3.667","25.0","50.0",".",".",".",".",".",".","",".",".",".","",".",".",".","25.0","."
"Undergraduates","","5","3.667","20.0","40.0",".",".",".",".",".","20.0","",".",".",".","",".",".",".","20.0","."
"Special","","61","1.702","16.4","3.3","21.3",".","1.6",".",".","13.1","",".",".",".","",".",".",".","6.6","."
"Graduate","","94","3.533","39.4","33.0","19.1","2.1","1.1",".","1.1","2.1","",".",".",".","",".","2.1",".",".","."
"Prof Yr 1","","1333","1.180","8.9",".","23.0",".","4.9","0.5","0.2","0.8","",".",".",".","",".",".",".","0.1","0.5"
"Prof Yr 2","","1232","1.247","9.6",".","14.0",".","2.8","0.8","0.1","28.2","",".",".",".","",".","0.2",".",".","2.1"
"Prof Yr 3","","1376","1.391","13.0","1.0","14.1","0.1","1.6","0.2","0.1","27.6","",".",".",".","",".","0.1",".",".","0.8"
"Prof Yr 4","","42","3.714","4.8",".","2.4",".",".",".",".","92.9","",".",".",".","",".",".",".",".","."
"Professionals","","3983","1.261","10.5","0.4","16.9","0.0","3.0","0.5","0.1","19.5","",".",".",".","",".","0.1",".","0.0","1.1"
"","College Total","4143","1.328","11.2","1.2","17.0","0.1","3.0","0.5","0.1","19.0","",".",".",".","",".","0.1",".","0.1","1.0"
