"ATMOSPHERIC & OCEANIC SCIE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","",""
"100","001","","308","2.675","11.7","17.5","22.4","18.5","17.2","7.1","3.9","0.6",".",".",".",".",".","0.6",".","0.3"
"100","002","","277","2.892","9.4","23.1","32.5","14.1","15.9","3.2","0.7","0.7",".",".",".",".",".","0.4",".","."
"Weather and Climate","Course Total","","585","2.778","10.6","20.2","27.2","16.4","16.6","5.3","2.4","0.7",".",".",".",".",".","0.5",".","0.2"
"101
Weather and Climate","001","","88","3.006","22.7","17.0","26.1","18.2","10.2","5.7",".",".",".",".",".",".",".",".",".","."
"105
Survey of Oceanography","001","","39","2.718","5.1","15.4","33.3","30.8","7.7","5.1","2.6",".",".",".",".",".",".",".",".","."
"121
Atmspherc Envirnmnt&Society","001","","105","3.224","28.6","21.0","23.8","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"171
Global Chg: Atmospheric Iss","001","","24","3.729","75.0","4.2","12.5","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"310
Dynamics-Atmosphere&Ocean I","001","","24","2.457","12.5","12.5","12.5","16.7","29.2","4.2","8.3",".",".",".",".",".",".","4.2",".","."
"330
Physics-Atmosphere&Ocean I","001","","25","3.200","32.0","32.0","12.0","8.0","12.0",".","4.0",".",".",".",".",".",".",".",".","."
"331
Climatic Environments-Past","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"452
Syn Lab I:Frontal Cyclone","001","","32","2.891","28.1","6.3","18.8","21.9","18.8","6.3",".",".",".",".",".",".",".",".",".","."
"509
Teachr Wkshp-Earth Sys Sci-Web","001","","12","3.979","83.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"528
Past Climates&Climatic Chg","001","","20","3.400","35.0","20.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"610
Geophys Fluid Dynamics I","001","","16","3.563","37.5","43.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"623
Electronic Aids to Measmnt","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"630
Intro to Atm & Ocn Physics","001","","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"660
Intro-Physical Oceanography","001","","17","3.382","41.2","5.9","41.2","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"691","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"698
Directed Study","029","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","9","3.955","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"761
Dynamics-Ocean Circulation","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"771
Numerical Mod-Meteorology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"907","001","","39","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"907","002","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Seminar:Research Presentations","Course Total","","54","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"925
Seminar-Climatology","001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"965
Seminar-Oceanography","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 261 of 410",""
