"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"","808
001","","10","1.040","10.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
808","","6","0.600",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
808","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","004
808","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","005
808","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Legal Writing","Course Total","","25","1.402","24.0","4.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","815
001","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","002
815","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","003
815","","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","004
815","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Appellate Advocacy II","Course Total","","46","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","001
817","","109","1.375","12.8","1.8","23.9",".","0.9",".",".","4.6",".",".",".",".",".",".",".","."
"","002
817","","16","2.438","37.5",".","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Organizations I","Course Total","","125","1.517","16.0","1.6","24.8",".","0.8",".",".","4.0",".",".",".",".",".",".",".","."
"Conflict of Laws","820
001","","26","1.125","15.4",".",".",".","3.8",".",".","38.5",".",".",".",".",".",".",".","."
"Family Law I","822
001","","39","0.730","10.3",".","7.7",".","2.6",".",".","5.1",".",".",".",".",".",".",".","."
"International Law","827
001","","32","1.269","18.8",".","9.4",".",".",".",".","18.8",".",".",".",".",".",".",".","."
"Jurisprudence","829
001","","21","1.357","19.0","4.8","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Land Use Controls","830
001","","24","1.458","12.5",".","25.0",".","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"Mod American Legal History","831
001","","16","2.313","25.0",".","43.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Unfair Trade Practices","843
001","","26","1.280","11.5",".","23.1",".","3.8",".",".","3.8",".",".",".",".",".",".",".","."
"","850
001","","29","1.414","10.3",".","31.0",".","3.4",".","3.4",".",".",".",".",".",".",".",".","."
"","002
850","","38","1.474","18.4",".","21.1",".","5.3",".","2.6",".",".",".",".",".",".",".",".","."
"","003
850","","28","1.444","14.3",".","17.9",".","14.3",".",".","3.6",".",".",".",".",".",".",".","."
"Professnl Responsibilities","Course Total","","95","1.447","14.7",".","23.2",".","7.4",".","2.1","1.1",".",".",".",".",".",".",".","."
"","852
001","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","002
852","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","003
852","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","004
852","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","005
852","","23","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","006
852","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","007
852","","26","",".",".",".",".",".",".",".","80.8",".",".",".",".",".",".",".","19.2"
"Trial Advocacy","Course Total","","91","",".",".",".",".",".",".",".","94.5",".",".",".",".",".",".",".","5.5"
"","854
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
854","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","005
854","","41","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","006
854","","8","",".",".",".",".",".",".",".","87.5",".",".",".",".",".",".",".","12.5"
"","007
854","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","008
854","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","010
854","","13","",".",".",".",".",".",".",".","76.9",".",".",".",".",".",".",".","23.1"
"","011
854","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","012
854","","12","",".",".",".",".",".",".",".","91.7",".",".",".",".",".",".",".","8.3"
"","013
854","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","014
854","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
