"BUS","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","238","3.129","15.5","28.6","34.5","12.2","6.7","2.1",".",".",".",".",".",".","0.4",".",".","."
"","002
300","216","3.133","11.6","30.1","40.3","10.2","6.9",".","0.5","0.5",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","454","3.131","13.7","29.3","37.2","11.2","6.8","1.1","0.2","0.2",".",".",".",".","0.2",".",".","."
"","305
001","37","3.257","16.2","45.9","27.0","5.4",".","5.4",".",".",".",".",".",".",".",".",".","."
"","002
305","49","3.449","34.7","28.6","30.6","4.1","2.0",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","86","3.366","26.7","36.0","29.1","4.7","1.2","2.3",".",".",".",".",".",".",".",".",".","."
"","310
001","48","3.469","29.2","41.7","22.9","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","002
310","38","3.382","15.8","44.7","39.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","86","3.430","23.3","43.0","30.2","3.5",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
002","46","3.576","52.2","23.9","15.2","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","399
138","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
399","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","3","***","","","","","","","","","","","","","","","",""
"","415
001","39","3.237","12.8","46.2","25.6","10.3",".",".","2.6","2.6",".",".",".",".",".",".",".","."
"","002
415","46","3.380","19.6","41.3","34.8","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","Course Total","85","3.315","16.5","43.5","30.6","7.1",".",".","1.2","1.2",".",".",".",".",".",".",".","."
"Global Marketing Strategy","420
001","36","3.347","27.8","27.8","30.6","13.9",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","421
001","21","3.333","42.9","28.6","14.3",".","9.5",".","4.8",".",".",".",".",".",".",".",".","."
"Procurement & Supply Managemnt","423
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","425
001","41","3.317","24.4","31.7","39.0","2.4",".",".","2.4",".",".",".",".",".",".",".",".","."
"","002
425","42","3.488","31.0","42.9","21.4","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","Course Total","83","3.404","27.7","37.3","30.1","2.4","1.2",".","1.2",".",".",".",".",".",".",".",".","."
"","001
460","33","3.439","45.5","21.2","15.2","12.1","6.1",".",".",".",".",".",".",".",".",".",".","."
"","002
460","14","3.036","14.3","28.6","35.7","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","47","3.319","36.2","23.4","21.3","10.6","6.4","2.1",".",".",".",".",".",".",".",".",".","."
"Sales Management","635
001","29","3.741","69.0","10.3","20.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","46","3.054","13.0","19.6","39.1","21.7","6.5",".",".",".",".",".",".",".",".",".",".","."
"","002
640","43","2.779","7.0","16.3","37.2","18.6","14.0","7.0",".",".",".",".",".",".",".",".",".","."
"Retail Management","Course Total","89","2.921","10.1","18.0","38.2","20.2","10.1","3.4",".",".",".",".",".",".",".",".",".","."
"","700
001","52","3.404","15.4","51.9","30.8","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","002
700","54","3.426","24.1","37.0","38.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","106","3.415","19.8","44.3","34.9","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","705
001","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","710
001","16","3.656","56.3","18.8","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","722
001","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","43","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
765","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","63","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","220
799","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Marketing PhD","971
001","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
120","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","134
990","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Marketing","Course Total","2","***","","","","","","","","","","","","","","","",""
