"CHICANA/O & LATINA/O STUDIE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","","","","","",""
"Intro to Chicana/o Studies","201
001","36","3.542","58.3","16.7","5.6","13.9","5.6",".",".",".",".","",".",".","",".","",".","",".",".","."
"Politcs:Multi-Cultural Soc","231
001","36","2.847","19.4","25.0","25.0","11.1","5.6","5.6","8.3",".",".","",".",".","",".","",".","",".",".","."
"Topics in Chicano/a Studies","330
001","6","2.714","16.7","16.7","33.3",".",".","33.3",".",".",".","",".",".","",".","",".","",".",".","."
"Latino/as and Media","419
001","23","3.435","30.4","43.5","13.0","8.7","4.3",".",".",".",".","",".",".","",".","",".","",".",".","."
"The American West to 1850","461
001","23","3.487","26.1","39.1","30.4",".",".",".",".","4.3",".","",".",".","",".","",".","",".",".","."
"Pop Culture in Multi-racial US","468
001","14","3.286","21.4","21.4","35.7","14.3",".",".",".","7.1",".","",".",".","",".","",".","",".",".","."
"Sociodem Anal-Mexican Migratn","470
001","8","3.875","75.0","25.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Indians & Spanish Borderlands","516
001","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Working-Class Cultures","519
001","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"CHICLA
228","Dept. Total","150","3.281","35.3","27.3","19.3","8.7","3.3","2.7","2.0","1.3","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","18","2.802","27.8","22.2","27.8",".","5.6","5.6","11.1",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","47","3.223","27.7","29.8","12.8","19.1","6.4","2.1",".","2.1","",".",".","",".","",".","",".",".",".","."
"Junior","","35","3.509","48.6","20.0","25.7","2.9",".","2.9",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","48","3.447","35.4","33.3","18.8","6.3","2.1","2.1",".","2.1","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","148","3.303","35.1","27.7","19.6","8.8","3.4","2.7","1.4","1.4","",".",".","",".","",".","",".",".",".","."
"Special","","1","0.000",".",".",".",".",".",".","100.0",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","150","3.281","35.3","27.3","19.3","8.7","3.3","2.7","2.0","1.3","",".",".","",".","",".","",".",".",".","."
