"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","","",""
"371
001","18","3.500","33.3","38.9","22.2","5.6",".",".",".",".",".","",".",".",".","",".","",".",".","."
"002
371","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".","",".",".",".","",".","",".",".","."
"Course Total
Interdis in Arts & Humanities","24","3.479","29.2","41.7","25.0","4.2",".",".",".",".","",".",".",".","",".","",".",".",".","."
"372
001
Interdis Studies-Soc Sciences","17","3.853","70.6","29.4",".",".",".",".",".",".",".","",".",".",".","",".","",".",".","."
"400
001
Capstone Integration Seminar","18","3.750","61.1","27.8","11.1",".",".",".",".",".",".","",".",".",".","",".","",".",".","."
"490
007","15","4.000","100.0",".",".",".",".",".",".",".",".","",".",".",".","",".","",".",".","."
"018
490","4","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"056
490","2","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"Course Total
Rsch-Integrated LiberalStudies","21","3.935","95.2",".","4.8",".",".",".",".",".","",".",".",".","",".","",".",".",".","."
"ILS
Dept. Total
500","1743","3.230","21.6","23.4","23.5","7.5","4.2","0.9","1.0","0.3","",".","17.2","0.2","",".","",".","0.1","0.1","0.1"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","693","3.180","16.6","22.5","20.6","6.5","3.3","1.0","1.0",".","",".","27.7","0.4","",".","",".","0.1",".","0.1"
"Sophomore","489","3.175","17.2","22.7","29.0","10.0","4.1","0.6","0.8",".","",".","14.9","0.2","",".","",".","0.2",".","0.2"
"Junior","291","3.219","23.4","27.8","24.4","7.2","6.9","1.0","1.4","0.7","",".","7.2",".","",".","",".",".",".","."
"Senior","257","3.426","42.0","22.6","19.5","5.8","4.3","0.8","1.2",".","",".","3.9",".","",".","",".",".",".","."
"Undergraduates","1730","3.230","21.7","23.5","23.5","7.5","4.3","0.9","1.0","0.1","",".","17.1","0.2","",".","",".","0.1",".","0.1"
"Special","13","3.346","7.7","7.7","23.1",".",".",".",".","23.1","",".","30.8",".","",".","",".",".","7.7","."
"Dept. Total","1743","3.230","21.6","23.4","23.5","7.5","4.2","0.9","1.0","0.3","",".","17.2","0.2","",".","",".","0.1","0.1","0.1"
