"BIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","","",""
"101","001","","74","2.459","13.5","5.4","32.4","2.7","25.7","17.6","2.7",".",".",".",".",".",".",".",".","."
"101","002","","107","2.651","15.9","8.4","26.2","12.1","26.2","8.4","1.9",".",".",".",".",".",".",".",".","0.9"
"Animal Biology","Course Total","","181","2.572","14.9","7.2","28.7","8.3","26.0","12.2","2.2",".",".",".",".",".",".",".",".","0.6"
"102","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"102","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"102","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"102","004","","6","3.333","33.3","33.3",".","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"102","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"102","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"102","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"102","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"102","009","","6","3.167","16.7",".","83.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"102","010","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"102","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"102","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"102","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"102","014","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"102","015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"102","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"102","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"102","018","","6","3.000",".","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"102","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"102","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"102","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","","70","3.479","37.1","28.6","28.6","4.3","1.4",".",".",".",".",".",".",".",".",".",".","."
"130
General Botany","001","","16","2.667","12.5","6.3","25.0","18.8","25.0","6.3",".",".",".",".",".",".",".",".",".","6.3"
"151","001","","120","3.088","25.0","7.5","45.8","8.3","9.2","3.3",".",".",".",".",".",".",".","0.8",".","."
"151","002","","109","2.872","22.9","5.5","37.6","5.5","22.9","3.7","1.8",".",".",".",".",".",".",".",".","."
"151","003","","138","3.083","18.8","14.5","47.1","8.0","9.4","2.2",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","","367","3.022","22.1","9.5","43.9","7.4","13.4","3.0","0.5",".",".",".",".",".",".","0.3",".","."
"152","001","","85","2.859","12.9","10.6","41.2","10.6","22.4","2.4",".",".",".",".",".",".",".",".",".","."
"152","002","","80","2.844","5.0","17.5","51.3","3.8","18.8","2.5","1.3",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","","165","2.852","9.1","13.9","46.1","7.3","20.6","2.4","0.6",".",".",".",".",".",".",".",".","."
"153
Introductory Biology","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies","Course Total","","8","3.861","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 166 of 410",""
