"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","",""
"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"Watercolor I","242
001","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","244
001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
244","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Art Metal I","Course Total","","11","3.636","54.5","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","302
001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
302","","14","3.786","78.6","14.3",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Color","Course Total","","21","3.833","81.0","14.3",".",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Relief Printmaking","306
001","","14","3.500","57.1","28.6","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","312
001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
312","","13","3.577","38.5","46.2","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Drawing I","Course Total","","23","3.696","52.2","39.1","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Sculpture II","314
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lithography","316
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonstatic Forms","318
001","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".",".",".",".","11.1"
"","322
001","","7","3.571","14.3","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
322","","12","3.227","16.7","33.3","16.7","25.0",".",".",".",".",".",".",".",".",".",".",".","8.3"
"Intermediate Painting I","Course Total","","19","3.361","15.8","52.6","10.5","15.8",".",".",".",".",".",".",".",".",".",".",".","5.3"
"Ceramics II","324
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Etching","326
001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","328
001","","12","3.250","50.0",".","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","002
328","","13","3.708","61.5","23.1",".",".","7.7",".",".","7.7",".",".",".",".",".",".",".","."
"Computer in the Visual Arts","Course Total","","25","3.479","56.0","12.0","8.0","8.0","12.0",".",".","4.0",".",".",".",".",".",".",".","."
"","332
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
332","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
332","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Life Drawing II","Course Total","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wood Working","334
001","","11","3.727","72.7","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Serigraphy","336
001","","15","3.500","53.3","20.0","13.3",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"Watercolor II","342
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Art Metal II","344
001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","346
001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
346","","8","3.375","62.5","12.5",".","12.5",".","12.5",".",".",".",".",".",".",".",".",".","."
"","003
346","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Typography & Communicatn","Course Total","","29","3.690","69.0","17.2","6.9","3.4",".","3.4",".",".",".",".",".",".",".",".",".","."
"Glassworking","001
354","","13","3.408","7.7","76.9","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","356
001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
356","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Print Prod Techniques(Digital)","Course Total","","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
366","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
366","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Stage Lighting I","Course Total","","7","3.229","42.9","28.6","14.3",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"Set Design I","372
001","","11","3.091","27.3","36.4","18.2",".",".","18.2",".",".",".",".",".",".",".",".",".","."
"","376
001","","13","3.423","30.8","38.5","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","Page 70 of 410"
