"L&S","","","","","","","","","","","","","","","","","","","","",""
"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","",""
"PSYCH
820","Dept. Total","4199","3.015","32.6","15.0","17.8","10.8","15.2","4.8","1.6","1.9","",".",".","",".","0.0","0.1",".","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","804","2.687","15.7","16.4","17.7","16.4","22.1","8.5","3.2",".","",".",".","",".",".",".",".",".","."
"Sophomore","","1058","2.890","23.3","15.9","19.5","15.0","19.3","5.3","1.6",".","",".",".","",".",".",".",".",".","0.2"
"Junior","","940","3.007","32.6","13.1","22.2","9.3","16.8","4.4","1.3",".","",".",".","",".",".","0.2",".","0.1","0.1"
"Senior","","1067","3.293","46.3","16.9","16.5","6.7","8.6","3.3","1.0","0.6","",".",".","",".",".",".",".",".","0.1"
"Undergraduates","","3869","2.985","30.3","15.6","18.9","11.6","16.3","5.2","1.7","0.2","",".",".","",".",".","0.1",".","0.0","0.1"
"Special","","50","3.120","40.0","10.0","16.0","6.0","8.0","2.0","4.0","12.0","",".",".","",".",".",".",".","2.0","."
"Graduate","","272","3.876","63.2","7.7","1.5","0.4","0.4",".",".","25.0","",".",".","",".","0.4","1.1",".","0.4","."
"Prof Yr 1","","7","3.429","42.9","28.6","14.3",".","14.3",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","8","3.500","50.0","25.0","12.5",".","12.5",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","4199","3.015","32.6","15.0","17.8","10.8","15.2","4.8","1.6","1.9","",".",".","",".","0.0","0.1",".","0.1","0.1"
