"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Intro-Internatl Relations","103","001","248","2.890","8.1","27.8","30.6","13.3","14.1","3.6","1.6","0.4","0.4",".",".",".",".",".",".","."
"","104","001","329","2.994","8.5","34.0","27.4","17.0","9.1","2.4","1.2",".",".",".",".",".",".",".",".","0.3"
"","104","002","419","2.882","11.9","15.8","30.3","27.9","11.0","1.9","1.0",".",".",".",".",".",".",".","0.2","."
"Intro-Amer Politcs&Governmt","","Course Total","748","2.931","10.4","23.8","29.0","23.1","10.2","2.1","1.1",".",".",".",".",".",".",".","0.1","0.1"
"Intro-Comparative Politics","106","001","374","2.863","13.1","25.9","25.7","12.6","13.4","7.2","1.9","0.3",".",".",".",".",".",".",".","."
"","199","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Intro to State Government","205","001","87","3.253","27.6","28.7","18.4","16.1","5.7",".","1.1",".",".",".",".",".","2.3",".",".","."
"Intro to Political Theory","209","001","223","3.118","10.3","30.0","44.8","9.4","1.3","0.4","2.2","0.9",".",".",".",".",".",".","0.4","."
"Law, Politics and Society","217","001","75","2.986","2.7","34.7","36.0","16.0","4.0","2.7","1.3","1.3",".",".",".",".",".",".",".","1.3"
"Intro to East Asian Civ","222","001","26","3.865","84.6","7.7","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Politcs:Multi-Cultural Soc","231","001","92","3.185","19.6","32.6","23.9","15.2","7.6","1.1",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","17","3.588","47.1","35.3","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","64","3.270","17.2","29.7","40.6","10.9",".",".",".",".",".",".",".",".",".","1.6",".","."
"Africa: Introductory Survey","277","001","32","3.371","34.4","31.3","18.8","3.1","6.3","3.1",".","3.1",".",".",".",".",".",".",".","."
"Africn&Africn-Amer Linkages","297","001","12","3.333","16.7","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Politics of World Economy","312","001","206","3.313","27.2","34.5","23.8","7.8","2.9","0.5","1.9",".",".",".",".",".","0.5",".","0.5","0.5"
"Comparative Study of Genocide","318","001","104","3.785","61.5","27.9","6.7",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"Study Abroad-Pol Sci:Intnl Rel","390","000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","401","000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","401","001","18","3.528","33.3","50.0","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","401","002","23","3.227","26.1","26.1","30.4","8.7",".",".","4.3",".",".",".",".",".","4.3",".",".","."
"","401","003","11","2.864",".","45.5","36.4",".","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"","401","004","17","3.118","11.8","29.4","41.2","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"","401","005","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","","Course Total","80","3.316","28.8","33.8","25.0","3.8","5.0",".","2.5",".",".",".",".",".","1.3",".",".","."
"Amer Politics & Government","404","001","64","2.875","23.4","12.5","29.7","9.4","14.1","9.4","1.6",".",".",".",".",".",".",".",".","."
"The American Presidency","408","001","82","2.930","13.4","19.5","28.0","20.7","12.2",".","2.4","2.4",".",".",".",".","1.2",".",".","."
"Constitutional Law","411","001","140","3.043","15.7","28.6","27.1","15.7","7.1","4.3","0.7",".",".",".",".",".",".",".",".","0.7"
"Legislative Internship","427","001","21","3.524","28.6","47.6","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adm of Public Policy","444","001","43","3.128","9.3","32.6","41.9","7.0","9.3",".",".",".",".",".",".",".",".",".",".","."
"Politcal Economy-Race in US","462","001","11","3.364","27.3","36.4","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"The First Amendment","470","001","229","3.200","16.6","29.7","33.6","12.7","3.1","1.3",".","1.3",".",".",".",".",".",".","1.7","."
"Washington Internship","478","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ancient&Medvl West Thought","501","001","64","3.219","10.9","48.4","26.6","7.8","4.7",".","1.6",".",".",".",".",".",".",".",".","."
"","506","001","13","3.385","38.5","30.8","23.1",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"","506","002","87","3.351","25.3","39.1","24.1","8.0","2.3",".","1.1",".",".",".",".",".",".",".",".","."
"","506","003","40","3.355","40.0","27.5","17.5",".","5.0",".","5.0","5.0",".",".",".",".",".",".",".","."
"Topics in Political Philos","","Course Total","140","3.355","30.7","35.0","22.1","5.0","2.9","0.7","2.1","1.4",".",".",".",".",".",".",".","."
"Science and Government","512","001","17","2.794","35.3","29.4","11.8",".",".",".","23.5",".",".",".",".",".",".",".",".","."
"Intro Stat Inference-Pol Rsch","551","001","31","3.551","51.6","25.8","16.1","3.2","3.2",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 281 of 410",""
