"GEOLOGY & GEOPHYSICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","","",""
"","100","001","147","2.864","20.4","19.7","19.0","19.7","10.9","7.5","2.7",".",".",".",".",".",".",".",".","."
"","100","002","158","3.128","25.9","22.8","19.6","20.3","6.3","3.2","0.6","1.3",".",".",".",".",".",".",".","."
"General Geology","","Course Total","305","3.000","23.3","21.3","19.3","20.0","8.5","5.2","1.6","0.7",".",".",".",".",".",".",".","."
"Survey of Oceanography","105","001","29","2.603","6.9","6.9","41.4","17.2","20.7",".","6.9",".",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","80","2.850","12.5","22.5","23.8","20.0","16.3","2.5","2.5",".",".",".",".",".",".",".",".","."
"Life of the Past","107","001","69","2.699","20.3","8.7","26.1","15.9","14.5","7.2","5.8","1.4",".",".",".",".",".",".",".","."
"Evolution and Extinction","110","001","210","2.710","13.8","1.9","48.1","2.9","24.8","8.1","0.5",".",".",".",".",".",".",".",".","."
"Volcanoes and Civilization","111","001","220","3.066","20.0","28.6","19.1","14.1","10.0","2.7","1.8","0.9",".",".",".",".",".","1.8","0.5","0.5"
"Mountains and Moving Plates","112","001","91","2.588","12.1","5.5","25.3","12.1","30.8","6.6","1.1","4.4","1.1",".",".",".",".","1.1",".","."
"Life in Earth's Extreme Envir","117","001","36","3.439","30.6","33.3","19.4","2.8","5.6",".",".","2.8",".",".",".",".",".",".","5.6","."
"Intro to Geologic Structures","202","001","32","3.063","25.0","12.5","37.5","6.3","15.6","3.1",".",".",".",".",".",".",".",".",".","."
"Geologic Evolution of Earth","204","001","28","2.741","28.6",".","39.3",".","10.7","10.7","7.1","3.6",".",".",".",".",".",".",".","."
"Fluids & Sedimentary Processes","303","001","26","3.077","23.1","23.1","19.2","15.4","19.2",".",".",".",".",".",".",".",".",".",".","."
"Geomorphology","320","001","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gems: Sci Behind the Sparkle","331","001","141","3.306","34.0","24.8","24.8","5.7","5.0","4.3",".",".",".",".",".",".",".",".","1.4","."
"The Age of Dinosaurs","333","001","99","2.634","9.1","20.2","15.2","20.2","19.2","6.1","4.0","5.1",".",".",".",".",".",".","1.0","."
"","376","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","376","002","18","3.083","5.6","33.3","38.9","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"Topics in Geology","","Course Total","19","3.083","5.3","31.6","36.8","15.8","5.3",".",".",".","5.3",".",".",".",".",".",".","."
"Minerals - A Public Problem","410","001","30","3.033","20.0","16.7","36.7","10.0","13.3","3.3",".",".",".",".",".",".",".",".",".","."
"Energy Resources","411","001","26","2.942","34.6","15.4","7.7","19.2","11.5","7.7","3.8",".",".",".",".",".",".",".",".","."
"Invertebrate Paleontology I","540","001","10","3.450","50.0","20.0",".","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"Geological Oceanography","550","001","10","3.611","50.0","10.0","30.0",".",".",".",".",".","10.0",".",".",".",".",".",".","."
"Mountain Belts","556","001","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Intro to Applied Geophysics","594","001","7","3.286","42.9","28.6","14.3",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"Fld Meth-Appl&Engr Geophysics","595","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Hydrogeology","627","001","14","3.250","7.1","50.0","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Contaminant Hydrogeology","629","001","9","3.444","55.6","22.2","11.1",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"","691","007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","7","3.925","71.4","14.3",".",".",".",".",".",".",".",".",".","14.3",".",".",".","."
"","692","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","698","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","4","***","","","","","","","","","","","","","","","",""
"","699","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
