"ANIMAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","",""
"101
Livestock Production","001","","64","3.227","29.7","12.5","46.9","1.6","7.8",".","1.6",".",".",".",".",".",".",".",".","."
"200
Biol&Apprec-Companion Anmls","001","","148","2.655","15.5","15.5","20.3","18.2","16.2","10.1","4.1",".",".",".",".",".",".",".",".","."
"220
Grwth,Compos&Eval-Meat Anml","001","","9","3.389","22.2","44.4","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"299","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","3.773","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","002","","8","3.313","12.5","37.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"414
Ruminant Nutrition","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"415
Appl-Monogastrc Nutr Prncpl","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"431
Beef Cattle Production","001","","23","2.891","13.0","21.7","17.4","34.8","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"434
Reproductive Physiology","001","","52","3.010","21.2","21.2","19.2","19.2","17.3","1.9",".",".",".",".",".",".",".",".",".","."
"435
Animal Sciences Proseminar","001","","30","3.817","86.7","10.0",".",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"626
Experimental Diet Design","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Problems","Course Total","","30","3.936","96.7",".",".","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"710
Chem of the Food Lipids","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"725
Muscle Biology","001","","7","3.571","57.1",".","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"875","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","11","3.893","72.7","18.2",".",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"950
Seminar in Animal Genomics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
