"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","",""
"VET","","","","","","","","","","","","","","","","","","","","",""
"VET","College Total","2235","3.281","28.7","14.4","17.7","4.4","3.8","0.3","0.0","30.3","",".",".",".","0.3","",".",".",".","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"VET","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"Freshmen","","22","3.795","72.7","22.7",".",".","4.5",".",".",".","",".",".",".",".","",".",".",".","."
"Sophomore","","16","3.477","56.3","31.3",".",".","12.5",".",".",".","",".",".",".",".","",".",".",".","."
"Junior","","16","3.338","50.0","31.3","6.3",".","6.3","6.3",".",".","",".",".",".",".","",".",".",".","."
"Senior","","38","3.583","65.8","15.8","10.5",".","7.9",".",".",".","",".",".",".",".","",".",".",".","."
"Undergraduates","","92","3.548","63.0","22.8","5.4",".","7.6","1.1",".",".","",".",".",".",".","",".",".",".","."
"Special","","8","3.625","25.0",".","12.5",".",".",".",".","62.5","",".",".",".",".","",".",".",".","."
"Graduate","","75","3.732","32.0","2.7","2.7",".","1.3",".",".","53.3","",".",".",".","8.0","",".",".",".","."
"Prof Yr 1","","417","3.223","36.5","20.1","26.6","7.4","7.7","0.5","0.2","1.0","",".",".",".",".","",".",".",".","."
"Prof Yr 2","","559","3.348","22.2","29.3","26.3","6.1","1.6",".",".","14.5","",".",".",".",".","",".",".",".","."
"Prof Yr 3","","541","2.961","7.6","9.4","24.0","6.1","6.8","0.4",".","45.7","",".",".",".",".","",".",".",".","."
"Prof Yr 4","","693","3.986","34.8",".",".",".",".","0.1",".","65.1","",".",".",".",".","",".",".",".","."
"Professionals","","2210","3.262","25.2","13.5","17.6","4.4","3.5","0.2","0.0","35.4","",".",".",".",".","",".",".",".","."
"","College Total","2385","3.281","26.9","13.5","16.6","4.1","3.6","0.3","0.0","34.7","",".",".",".","0.3","",".",".",".","."
