"LANDSCAPE ARCHITECTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","","",""
"201","001","","17","3.559","35.3","47.1","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"201","002","","13","3.577","23.1","69.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Land Arc Studio","Course Total","","30","3.567","30.0","56.7","10.0","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"250","001","","21","3.167","28.6","28.6","23.8","4.8","9.5",".","4.8",".",".",".",".",".",".",".",".","."
"250","002","","27","3.389","40.7","18.5","29.6",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"250","003","","21","3.289","23.8","42.9","14.3",".","4.8",".","4.8",".",".",".",".",".",".","4.8",".","4.8"
"250","004","","27","3.269","44.4","11.1","22.2","3.7","11.1",".","3.7","3.7",".",".",".",".",".",".",".","."
"250","005","","20","2.725","25.0","15.0","25.0",".","20.0","5.0","10.0",".",".",".",".",".",".",".",".","."
"250","006","","17","2.800",".","11.8","58.8","11.8",".",".","5.9","11.8",".",".",".",".",".",".",".","."
"Survey of Land Arch Design","Course Total","","133","3.141","29.3","21.1","27.8","3.0","9.8","0.8","4.5","2.3",".",".",".",".",".","0.8",".","0.8"
"261
Prin Land Arc Dsgn&Graphics","001","","22","3.409","27.3","27.3","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"263
Landscape Plants I","001","","25","2.396","4.0","12.0","24.0","16.0","24.0","12.0","4.0",".",".",".",".",".",".","4.0",".","."
"299
Independent Studies","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"354
Landscape Arch Tech II","001","","24","3.063","8.3","41.7","25.0","12.5","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"365
Planting Design I","001","","24","3.000","8.3","20.8","45.8","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","23","3.857","78.3","8.7","8.7",".",".",".",".",".",".",".",".",".",".",".","4.3","."
"399","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","4","***","","","","","","","","","","","","","","","",""
"548
Environmental Aesthetics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"550
Professionl Pract-Land Arch","001","","23","3.326","17.4","52.2","13.0","13.0","4.3",".",".",".",".",".",".",".",".",".",".","."
"610
Seminar-Landscape Arch","001","","23","3.600","52.2","21.7","21.7",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"666
Restoration Ecology","001","","17","3.618","58.8","17.6","17.6",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"670
Adaptive Restoration Lab","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems-Land Arch","Course Total","","2","***","","","","","","","","","","","","","","","",""
"710
Theories-Landscape Change","001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920
Regional Design Workshop","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"940
Graduate Seminar","001","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","13","",".",".",".",".",".",".",".","84.6",".",".",".","7.7","7.7",".",".","."
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
