"","022
990","1","***","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","065
990","2","***","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","079
990","3","***","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"Research","Course Total","9","",".",".",".",".",".","",".","",".","100.0","",".",".",".","",".","",".",".",".","."
"S&A PHM
732","Dept. Total","308","3.563","42.2","36.7","14.9","2.6","0.6","",".","",".","2.9","",".",".",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Sophomore","","1","3.500",".","100.0",".",".",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Junior","","9","3.714","77.8",".","11.1","11.1",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Senior","","5","3.769","80.0",".","20.0",".",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Undergraduates","","16","3.737","75.0","6.3","12.5","6.3",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Graduate","","19","3.786","42.1","10.5",".",".",".","",".","",".","47.4","",".",".",".","",".","",".",".",".","."
"Prof Yr 1","","137","3.401","21.9","44.5","28.5","3.6","1.5","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Prof Yr 2","","5","4.000","100.0",".",".",".",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Prof Yr 3","","131","3.757","57.3","37.4","3.8","1.5",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Professionals","","273","3.548","40.3","40.3","16.1","2.6","0.7","",".","",".",".","",".",".",".","",".","",".",".",".","."
"","Dept. Total","308","3.563","42.2","36.7","14.9","2.6","0.6","",".","",".","2.9","",".",".",".","",".","",".",".",".","."
