"ALS","","","","","","","","","","","","","","","","","","","","","","","",""
"PLANT PATHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"766
PL PATH","","","","","","","","","","","","","","","","","","","","","","","",""
"PL PATH
766","Dept. Total","120","3.413","38.3","10.0","14.2","5.0","4.2","",".","",".","17.5","",".",".","",".","10.8","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"766
PL PATH","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","2.500",".",".","50.0",".","50.0","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","9","3.278","22.2","55.6",".",".","22.2","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","15","3.424","53.3","13.3","20.0","6.7","6.7","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","36","3.302","38.9","13.9","30.6","13.9","2.8","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","62","3.302","38.7","19.4","24.2","9.7","8.1","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","58","3.878","37.9",".","3.4",".",".","",".","",".","36.2","",".",".","",".","22.4","",".",".",".","."
"","Dept. Total","120","3.413","38.3","10.0","14.2","5.0","4.2","",".","",".","17.5","",".",".","",".","10.8","",".",".",".","."
