"THEATRE AND DRAMA","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","","",""
"","362","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362","004","","8","3.500","50.0","12.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","362","006","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drama in Education","","Course Total","","37","3.824","81.1","5.4","10.8","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"Prin&Pract-Stage Costume Dsgn","363","001","","18","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","366","001","","9","3.683","55.6","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","366","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stage Lighting I","","Course Total","","13","3.789","69.2","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Directing","368","001","","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drafting for the Theatre","370","001","","9","2.810","22.2","11.1","22.2","33.3",".","11.1",".",".",".",".",".",".",".",".",".","."
"Sound for Theatre","371","001","","8","3.370","50.0","12.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Set Design I","372","001","","12","3.458","16.7","58.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Stage Management","379","001","","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theatre and Society","420","001","","17","3.824","76.5","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp World Theatre & Lit","424","001","","20","3.700","65.0","15.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Stage Lighting Design II","466","001","","10","3.452","40.0","40.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Theatre-Europe:1850-Present","522","001","","18","3.667","44.4","50.0",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Folklore-Festivls&Celebratn","539","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory III","561","001","","27","3.972","92.6",".","3.7",".",".",".",".",".",".",".",".",".",".",".","3.7","."
"","619","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","619","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","619","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","619","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","619","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Specl Topics-Theatre&Drama","","Course Total","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Study-Theatre Dsgn&Tech","670","001","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Directed Study","698","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","17","4.000","88.2",".",".",".",".",".",".",".",".",".",".",".","5.9",".","5.9","."
"Prosem: Intro Rsch-Theatre","700","001","","21","3.738","61.9","23.8","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Voice Training","740","001","","11","3.591","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Stage Movement","742","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Acting","750","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","Page 317 of 410",""
