"","021
990","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","024
990","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","030
990","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","19","",".",".",".",".",".","",".",".","26.3","",".",".",".","73.7","",".",".",".","."
"BSE
112","Dept. Total","225","3.220","23.1","16.0","23.1","7.6","7.6","",".","1.3","2.2","",".","11.6",".","6.2","",".","1.3",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","16","3.435","31.3","25.0","25.0","12.5","6.3","",".",".",".","",".",".",".",".","",".",".",".","."
"Junior","","44","3.172","20.5","15.9","27.3","15.9","13.6","",".","2.3",".","",".","4.5",".",".","",".",".",".","."
"Senior","","118","3.118","17.8","16.1","25.4","6.8","8.5","",".","1.7",".","",".","20.3",".","0.8","",".","2.5",".","."
"Undergraduates","","178","3.153","19.7","16.9","25.8","9.6","9.6","",".","1.7",".","",".","14.6",".","0.6","",".","1.7",".","."
"Special","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".",".",".","",".",".",".","."
"Graduate","","46","3.598","34.8","13.0","13.0",".",".","",".",".","10.9","",".",".",".","28.3","",".",".",".","."
"","Dept. Total","225","3.220","23.1","16.0","23.1","7.6","7.6","",".","1.3","2.2","",".","11.6",".","6.2","",".","1.3",".","."
