"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"","723
022","8","0.750",".",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","023
723","12","0.500",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","024
723","10","1.200",".",".","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","025
723","7","1.000","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Research and Writing","Course Total","261","1.042","6.5",".","25.3",".","0.8",".","0.4",".",".",".",".",".",".",".",".","0.8"
"","726
001","92","0.815","3.3",".","20.7",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"","002
726","91","1.165","14.3",".","11.0",".","12.1","2.2",".",".",".",".",".",".",".",".",".","."
"","003
726","21","1.952","23.8",".","23.8",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","004
726","18","1.722","11.1",".","38.9",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","005
726","20","1.850","20.0",".","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
726","19","0.944","10.5",".","5.3",".","10.5","10.5","5.3",".",".",".",".",".",".",".",".","5.3"
"Intro-Substan Criminal Law","Course Total","261","1.181","11.1",".","18.8",".","7.7","1.5","0.4",".",".",".",".",".",".",".",".","0.4"
"Federal Law & Indian Tribes","730
001","27","1.000","11.1",".","11.1",".","7.4",".",".","7.4",".",".",".",".",".",".",".","."
"","731
001","79","0.972","7.6",".","19.0",".",".","1.3",".","8.9",".",".",".",".",".",".",".","."
"","002
731","98","1.011","11.2",".","14.3",".","3.1","2.0",".","5.1",".",".",".",".",".",".",".","."
"Constitutional Law I","Course Total","177","0.994","9.6",".","16.4",".","1.7","1.7",".","6.8",".",".",".",".",".",".",".","."
"Real Estate Transactions I","732
001","64","1.492","20.3",".","17.2",".","3.1","3.1",".","4.7",".",".",".",".",".",".",".","."
"Trusts and Estates","733
001","119","1.065","7.6",".","13.4",".","5.9","0.8","0.8","21.8",".",".",".",".",".",".",".","."
"Secured Transactions","736
001","30","1.900","30.0",".","23.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
001","31","1.038","12.9",".","9.7",".","3.2",".",".","16.1",".",".",".",".",".",".",".","."
"","002
740","15","1.143","6.7",".","26.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","003
740","28","1.346","17.9",".","17.9",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Constitutional Law II","Course Total","74","1.182","13.5",".","16.2",".","1.4",".",".","10.8",".",".",".",".",".",".",".","."
"Taxation I","742
001","160","1.614","12.5","0.6","22.5",".","2.5",".",".","22.5",".",".",".",".",".",".",".","."
"","743
001","18","1.028","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
743","16","1.469","18.8",".","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Negotiations","Course Total","34","1.235","17.6","2.9","11.8","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Administrative Law","744
001","33","1.650","12.1","3.0","30.3",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Labor Relations Law","745
001","30","1.586","6.7","6.7","30.0",".","6.7",".",".","3.3",".",".",".",".",".",".",".","."
"Legislation","746
001","14","1.923","7.1",".","50.0",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Antitrust","748
001","14","1.964","21.4","7.1","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Copyright Law","752
001","31","1.210","12.9","3.2","16.1",".","3.2","3.2",".",".",".",".",".",".",".",".",".","."
"Intro-Intellectual Proprty Law","753
001","49","1.667","4.1","8.2","36.7",".","4.1",".",".","2.0",".",".",".",".",".",".",".","."
"Role of Police in Free Soc","760
001","10","0.950",".","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Select Topics-Estate Planning","771
001","23","1.652","34.8",".","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Use of Trusts-Estate Planning","772
001","13","2.000","38.5",".","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
001","77","1.264","14.3","1.3","13.0",".","6.5","1.3",".","9.1",".",".",".",".",".",".",".","."
"","002
801","76","1.016","10.5",".","10.5",".","3.9","1.3",".","18.4",".",".",".",".",".",".",".","."
"Evidence","Course Total","153","1.148","12.4","0.7","11.8",".","5.2","1.3",".","13.7",".",".",".",".",".",".",".","."
"","802
001","20","1.550","15.0",".","30.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"","002
802","60","0.904","13.3",".","5.0",".","5.0",".",".","13.3",".",".",".",".",".",".",".","."
"","003
802","27","1.417","14.8",".","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Civil Procedure II","Course Total","107","1.167","14.0",".","14.0",".","2.8","0.9",".","10.3",".",".",".",".",".",".",".","."
