"L&S","","","","","","","","","","","","","","","","","","",""
"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","311
011","19","3.500","31.6","31.6","31.6",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","012
311","19","3.447","52.6","10.5","21.1","5.3","10.5",".",".",".",".",".",".",".",".",".",".","."
"Advanced Language Practice","Course Total","220","3.535","44.5","27.7","20.5","1.8","2.7","0.5","0.5","1.8",".",".",".",".",".",".",".","."
"","319
001","23","3.630","56.5","13.0","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
319","21","3.119","33.3","14.3","28.6","9.5","9.5",".","4.8",".",".",".",".",".",".",".",".","."
"Topics in Span Lang Pract","Course Total","44","3.386","45.5","13.6","29.5","4.5","4.5",".","2.3",".",".",".",".",".",".",".",".","."
"","320
001","21","3.452","38.1","33.3","19.0",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"","002
320","24","3.396","50.0","4.2","33.3",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","003
320","22","2.909","13.6","27.3","36.4",".","13.6","4.5","4.5",".",".",".",".",".",".",".",".","."
"","004
320","25","3.521","52.0","16.0","20.0","4.0",".","4.0",".","4.0",".",".",".",".",".",".",".","."
"Spanish Phonetics","Course Total","92","3.324","39.1","19.6","27.2","1.1","8.7","2.2","1.1","1.1",".",".",".",".",".",".",".","."
"","001
322","19","3.583","52.6","10.5","26.3","5.3",".",".",".",".",".",".",".",".",".","5.3",".","."
"","002
322","24","3.375","50.0","16.7","16.7","8.3","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"","003
322","23","3.065","17.4","21.7","43.5","8.7","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"Survey of Early Hispanic Lit","Course Total","66","3.323","39.4","16.7","28.8","7.6","3.0",".","3.0",".",".",".",".",".",".","1.5",".","."
"Adv Lang Prac-Expos Writing","323
001","21","3.310","33.3","19.0","33.3","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"","324
001","26","3.577","53.8","15.4","26.9",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","002
324","23","3.522","34.8","34.8","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Modern Spanish Lit","Course Total","49","3.551","44.9","24.5","28.6",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"","325
001","24","3.292","29.2","25.0","33.3",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","002
325","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
325","24","3.667","45.8","29.2","8.3","4.2",".",".",".","12.5",".",".",".",".",".",".",".","."
"Advanced Conversation","Course Total","72","3.652","58.3","18.1","13.9","1.4","4.2",".",".","4.2",".",".",".",".",".",".",".","."
"","326
001","19","3.763","89.5",".",".","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"","002
326","22","3.045","31.8","27.3","13.6",".","18.2","4.5","4.5",".",".",".",".",".",".",".",".","."
"","003
326","18","3.194","55.6","11.1","5.6","5.6","11.1","5.6","5.6",".",".",".",".",".",".",".",".","."
"Survey of Spanish American Lit","Course Total","59","3.322","57.6","13.6","6.8","3.4","10.2","5.1","3.4",".",".",".",".",".",".",".",".","."
"","327
001","20","3.125","35.0","20.0","25.0","5.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"","002
327","23","3.109","26.1","17.4","21.7","21.7","13.0",".",".",".",".",".",".",".",".",".",".","."
"","003
327","24","3.417","54.2","8.3","16.7","8.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"Intro to Spanish Linguistics","Course Total","67","3.224","38.8","14.9","20.9","11.9","10.4","1.5","1.5",".",".",".",".",".",".",".",".","."
"Spanish Civilization","361
001","32","3.639","46.9","34.4","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit de la Edad Med Castellana","414
001","16","3.352","31.3","37.5","18.8",".","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"Cervantes","435
001","25","3.833","76.0","12.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
000A","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","001
460","22","3.616","86.4","4.5",".",".",".","4.5","4.5",".",".",".",".",".",".",".",".","."
"Literatura Hispanoamericana","Course Total","24","3.527","79.2","4.2","4.2",".","4.2","4.2","4.2",".",".",".",".",".",".",".",".","."
"Spanish Amer Short Story","461
001","20","3.427","50.0","15.0","20.0",".","15.0",".",".",".",".",".",".",".",".",".",".","."
"Spanish Am Theater & Drama","001
462","24","3.173","37.5","20.8","12.5","16.7","4.2","4.2","4.2",".",".",".",".",".",".",".",".","."
"Lit&Film in Spanish America","465
001","21","3.235","38.1","19.0","23.8","4.8","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"Topics in Hispanic Culture","468
001","31","3.312","19.4","32.3","41.9",".",".","3.2",".",".",".",".",".",".","3.2",".",".","."
"Surv-Span Am Lit:Disc-Modrn","501
001","17","3.471","47.1","35.3","11.8",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"College Teaching of Spanish","545
001","18","3.844","61.1","27.8",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
