"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
001","73","3.233","15.1","30.1","45.2","5.5","4.1",".",".",".",".",".",".",".",".",".",".","."
"","002
101","150","3.101","18.0","22.7","36.0","13.3","7.3","0.7","1.3",".",".",".",".",".",".",".","0.7","."
"","003
101","77","3.071","18.2","20.8","35.1","14.3","10.4",".","1.3",".",".",".",".",".",".",".",".","."
"","004
101","76","2.822","13.2","25.0","26.3","15.8","11.8",".","7.9",".",".",".",".",".",".",".",".","."
"","005
101","78","3.378","34.6","32.1","19.2","7.7","5.1",".","1.3",".",".",".",".",".",".",".",".","."
"","006
101","68","3.174","22.1","20.6","35.3","10.3","7.4","1.5",".","1.5",".",".",".",".",".","1.5",".","."
"Introduction to Philosophy","Course Total","522","3.125","19.9","24.9","33.1","11.5","7.7","0.4","1.9","0.2",".",".",".",".",".","0.2","0.2","."
"","104
001","20","3.575","55.0","35.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","002
104","20","3.700","55.0","30.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
104","20","3.275","25.0","25.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics:Philos-Freshmen","Course Total","60","3.517","45.0","30.0","20.0",".","3.3",".","1.7",".",".",".",".",".",".",".",".","."
"","001
210","165","2.968","26.1","14.5","25.5","9.7","15.2","6.7","1.2","0.6",".",".",".",".",".",".","0.6","."
"","003
210","21","3.214","23.8","23.8","28.6","19.0","4.8",".",".",".",".",".",".",".",".",".",".","."
"Reason in Communication","Course Total","186","2.997","25.8","15.6","25.8","10.8","14.0","5.9","1.1","0.5",".",".",".",".",".",".","0.5","."
"","211
001","128","2.885","32.0","16.4","11.7","12.5","9.4","13.3","3.1",".","0.8",".",".",".",".",".",".","0.8"
"","002
211","69","2.627","2.9","8.7","27.5","31.9","24.6","1.4",".",".",".",".",".",".",".",".","2.9","."
"","003
211","64","3.055","42.2","14.1","15.6","6.3","9.4","6.3","6.3",".",".",".",".",".",".",".",".","."
"Elementary Logic","Course Total","261","2.860","26.8","13.8","16.9","16.1","13.4","8.4","3.1",".","0.4",".",".",".",".",".","0.8","0.4"
"","241
001","81","3.275","23.5","19.8","46.9","4.9","3.7",".",".","1.2",".",".",".",".",".",".",".","."
"","002
241","79","3.340","22.8","32.9","34.2","6.3","2.5",".",".","1.3",".",".",".",".",".",".",".","."
"","003
241","74","3.123","29.7","27.0","20.3","5.4","8.1","4.1","4.1",".","1.4",".",".",".",".",".",".","."
"Introductory Ethics","Course Total","234","3.249","25.2","26.5","34.2","5.6","4.7","1.3","1.3","0.9","0.4",".",".",".",".",".",".","."
"Ethics in Business","001
243","153","3.352","22.9","38.6","24.2","13.1","0.7",".",".","0.7",".",".",".",".",".",".",".","."
"Philosophy of the Arts","253
001","73","3.535","49.3","27.4","13.7","4.1","1.4","1.4","1.4","1.4",".",".",".",".",".",".",".","."
"","001
341","71","3.169","15.5","33.8","31.0","11.3","7.0","1.4",".",".",".",".",".",".",".",".",".","."
"","002
341","152","3.553","39.5","38.2","16.4","2.6","1.3","0.7",".","0.7",".",".",".",".",".","0.7",".","."
"","003
341","76","3.563","48.7","22.4","13.2","7.9","2.6",".",".","2.6",".",".",".",".",".",".","1.3","1.3"
"","091
341","20","3.625","60.0","25.0","10.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","319","3.473","37.6","32.6","18.5","5.6","2.8","0.9",".","0.9",".",".",".",".",".","0.3","0.3","0.3"
"Hist of Ancient Philosophy","430
001","56","3.571","41.1","37.5","17.9","1.8","1.8",".",".",".",".",".",".",".",".",".",".","."
"History-Modern Philosophy","432
001","65","3.730","66.2","13.8","13.8","1.5","1.5",".",".","1.5",".",".",".",".",".",".","1.5","."
"Classical Philosophers","454
001","19","2.944","15.8","26.3","26.3","5.3","15.8",".","5.3","5.3",".",".",".",".",".",".",".","."
"Junior Honors Seminar","481
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory of Knowledge","503
001","16","3.367","25.0","31.3","25.0","12.5",".",".",".",".",".",".",".",".",".","6.3",".","."
"Symbolic Logic","511
001","16","3.188",".","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Language and Meaning","516
001","20","3.361","30.0","20.0","30.0","5.0","5.0",".",".",".",".",".",".",".",".","10.0",".","."
"Philos of Natural Sciences","520
001","19","3.528","31.6","42.1","15.8","5.3",".",".",".",".",".",".",".",".",".","5.3",".","."
"Great Moral Philosophers","549
001","23","3.348","39.1","26.1","17.4","8.7","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"Philosophy of Mind","551
001","21","3.310","14.3","38.1","42.9","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Political Philosophy","555
001","19","3.211","21.1","26.3","31.6","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"Metaphysics","560
001","26","3.308","34.6","23.1","19.2","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Logic","571
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Seminar","582
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 275 of 410",""
