"ED LEADERSHP & POLICY ANAL Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","",""
"Wkshp-Ed Leadership & Pol Anal","502","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations of Educ for Work","660","001","","12","3.818","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Career Dev Through Life Spn","665","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Experience-Ed Admin","700","043","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701","001","","16","3.750","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701","003","","18","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701","004","","27","3.885","77.8","14.8","3.7",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"Intro-Higher & Post-Sec Ed","","Course Total","","61","3.800","65.6","26.2","6.6",".",".",".",".",".",".",".",".",".","1.6",".",".","."
"Intro-Elem & Sec Educ Admin","702","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meth & Proc-Ed Admin","725","001","","22","4.000","86.4",".",".",".",".",".",".",".",".",".",".",".","13.6",".",".","."
"Program Develop-Cont Educ","730","001","","14","3.846","64.3","28.6",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Stdt Serv&Divrsty-El/Scndry","735","001","","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Admin Stdt Serv-Higher Educ","736","001","","20","3.750","55.0","40.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adult Learner:Implictn for C&I","746","001","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Issues in Educ Policy Analysis","765","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fld Rsch Dsgn&Meth-Ed Admin","824","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Rsch Methods-Ed Admin","825","001","","16","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Financng Elem&Secondry Educ","830","001","","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840","001","","7","3.286","57.1","28.6",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","840","002","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Aspcts-El & Scndry Ed","","Course Total","","14","3.571","64.3","28.6",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Leg Aspct-Spec Ed&Pupl Serv","842","001","","8","3.857","75.0",".","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"The School Superintendency","846","001","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","847","001","","18","3.833","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","847","002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Instr Leadershp&Schl Improv","","Course Total","","31","3.903","83.9","12.9","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pro Devel&Orgniztn Learning","848","001","","22","3.929","81.8","13.6",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Org Theory&Behavior in Educ","860","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acadmc Prgrms-Col&Universty","880","001","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Rsch in Ed Admin","890","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","940","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","940","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","004","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","005","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","007","","26","3.958","84.6","7.7",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Topics Seminar-Educ Leadership","","Course Total","","58","3.982","93.1","3.4",".",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"Hierarchical Linear Modeling","964","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","012","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","014","","7","",".",".",".",".",".",".",".","28.6","14.3",".",".","57.1",".",".",".","."
"","990","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","032","","32","",".",".",".",".",".",".",".","96.9",".",".",".",".","3.1",".",".","."
