"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"","351
002","12","3.542","50.0","16.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","004
351","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Logic Laboratory","Course Total","19","3.553","47.4","21.1","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","352
001","19","2.868","26.3","31.6","5.3","5.3","15.8","10.5","5.3",".",".",".",".",".",".",".",".","."
"","002
352","21","2.667","19.0","19.0","9.5","19.0","23.8",".","9.5",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","40","2.763","22.5","25.0","7.5","12.5","20.0","5.0","7.5",".",".",".",".",".",".",".",".","."
"Intro to Microprocessor Sys","353
001","28","2.911","25.0","14.3","21.4","10.7","21.4","7.1",".",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","354
002","10","3.500","50.0","10.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Electromech Energy Conversn","355
003","8","3.600","37.5","12.5",".","12.5",".",".",".","12.5",".",".",".",".","12.5",".","12.5","."
"Elect Power for Alt Energy Sys","356
001","31","3.017","25.8","12.9","25.8","16.1","9.7","6.5",".","3.2",".",".",".",".",".",".",".","."
"","370
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
370","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
001","54","3.102","24.1","20.4","27.8","14.8","11.1",".","1.9",".",".",".",".",".",".",".",".","."
"","002
376","62","3.145","17.7","19.4","43.5","12.9","6.5",".",".",".",".",".",".",".",".",".",".","."
"Electricl&Electronc Circuit","Course Total","116","3.125","20.7","19.8","36.2","13.8","8.6",".","0.9",".",".",".",".",".",".",".",".","."
"Elec&Elec-mech Power Conver","377
001","72","2.847","15.3","20.8","20.8","20.8","13.9","8.3",".",".",".",".",".",".",".",".",".","."
"","399
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","018
399","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","021
399","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","044
399","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","051
399","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","8","3.972","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Feedback Control Lab","001
409","20","3.500","30.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
001","15","3.167","26.7","26.7","26.7","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"","002
411","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
411","7","2.917","28.6",".","28.6","14.3",".","14.3",".","14.3",".",".",".",".",".",".",".","."
"Intro to Electric Drive Sys","Course Total","23","3.091","26.1","17.4","30.4","8.7","4.3","8.7",".","4.3",".",".",".",".",".",".",".","."
"Electromag Wave Transmissn","420
001","15","3.567","53.3","20.0","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","427
001","32","3.453","46.9","9.4","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","003
427","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Electric Power Systems","Course Total","37","3.403","45.9","8.1","29.7","10.8",".","2.7",".",".",".",".",".",".","2.7",".",".","."
"Digital Signal Processing","431
001","32","3.065","31.3","15.6","15.6","15.6","12.5","6.3",".","3.1",".",".",".",".",".",".",".","."
"Communication Systems I","436
001","16","2.594","12.5","25.0","12.5","31.3",".","6.3","12.5",".",".",".",".",".",".",".",".","."
"Communication Systems Lab I","438
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Robotics","439
001","10","3.400","20.0","40.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Communications Sys","447
001","12","3.500","33.3","41.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Medical Instrumentation","001
462","7","3.357","28.6","28.6","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Computers in Medicine","001
463","17","3.688","47.1","35.3","11.8",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Computer Proj in Cntrl&Inst","468
001","17","3.853","82.4","5.9","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","489
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","035
489","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","3","***","","","","","","","","","","","","","","","",""
