"","JOURN AND MASS COMMUNICA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"Intro to Mass Communication","201","001","342","3.598","35.1","52.9","9.6","1.5","0.3",".","0.3",".",".",".",".",".",".","0.3",".","."
"Mass Communication Practices","202","001","105","3.286","21.0","28.6","41.9","5.7","1.9","1.0",".",".",".",".",".",".",".",".",".","."
"","335","001","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335","002","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335","003","15","3.433","46.7","33.3","13.3",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","335","004","16","3.313","6.3","56.3","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Reporting","","Course Total","59","3.610","49.2","35.6","11.9","1.7",".",".","1.7",".",".",".",".",".",".",".",".","."
"","345","001","44","3.716","47.7","47.7","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","345","002","41","3.598","39.0","43.9","14.6","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Strategic Com","","Course Total","85","3.659","43.5","45.9","9.4","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"In-Depth Reporting","401","001","13","3.462","7.7","76.9","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Nonfiction","405","001","15","3.767","66.7","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Science & Envir Journalism","415","001","15","3.571","66.7","13.3","6.7",".",".",".","6.7","6.7",".",".",".",".",".",".",".","."
"Magazines&Magazine Editing","417","001","20","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electronc News-Web & Broadcast","419","001","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Media Planning","447","001","28","3.661","50.0","35.7","10.7","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Communicatn Campaign","449","001","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Adv Concpts&Skills","475","076","19","3.737","52.6","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560","001","96","3.293","27.1","21.9","37.5","6.3","4.2","1.0",".","2.1",".",".",".",".",".",".",".","."
"Mass Communication&Society","561","001","21","3.810","61.9","38.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Effects-Mass Communication","565","001","118","2.875","7.6","21.2","31.4","23.7","11.0","2.5","0.8","0.8",".",".",".",".",".","0.8",".","."
"Mass Media and Youth","616","001","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and the Consumer","646","001","120","3.538","34.2","40.8","21.7","2.5",".",".",".",".",".",".",".",".",".","0.8",".","."
"Communication Rsch Methods","658","001","26","3.788","65.4","26.9","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","662","001","24","3.188","8.3","50.0","20.8","12.5","8.3",".",".",".",".",".",".",".",".",".",".","."
"","662","002","24","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and Minorities","","Course Total","48","3.448","29.2","45.8","14.6","6.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"","676","010","17","3.848","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676","036","14","3.620","50.0","21.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676","094","15","3.466","20.0","53.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Mass Communication","","Course Total","46","3.654","47.8","34.8","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","092","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Senior Thesis","691","048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","004","9","",".",".",".",".",".",".",".",".",".","88.9",".",".",".",".","11.1","."
"","697","005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","010","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 242 of 410",""
