"","049
996","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","058
996","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","084
996","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Research-Materials Chemistry","Course Total","16","",".",".",".",".",".",".",".","100.0","",".",".",".",".","",".",".",".","."
"CHEM
224","Dept. Total","6139","2.982","25.6","13.3","27.7","9.0","14.6","3.3","2.0","4.4","",".",".",".","0.1","",".","0.0","0.0","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2044","3.050","24.1","15.7","32.2","11.1","13.6","2.3","1.1",".","",".",".",".",".","",".",".",".","."
"Sophomore","","1501","2.907","24.0","11.5","28.8","8.9","20.0","4.9","1.9",".","",".",".",".",".","",".",".",".","0.1"
"Junior","","1081","2.837","22.8","12.9","30.6","9.0","17.9","4.1","2.7",".","",".",".",".",".","",".",".",".","."
"Senior","","854","2.908","30.2","13.9","24.2","9.3","13.1","4.2","4.7",".","",".",".",".",".","",".","0.2","0.1","."
"Undergraduates","","5480","2.957","24.8","13.7","29.7","9.8","16.1","3.6","2.2",".","",".",".",".",".","",".","0.0","0.0","0.0"
"Special","","68","3.214","38.2","11.8","27.9","7.4","11.8","1.5","1.5",".","",".",".",".",".","",".",".",".","."
"Graduate","","778","3.595","46.3","7.6","5.9","1.3","0.3",".","0.1","38.0","",".",".",".","0.5","",".",".",".","."
"Prof Yr 3","","14","3.458","50.0","14.3","28.6",".",".",".",".","7.1","",".",".",".",".","",".",".",".","."
"Prof Yr 4","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".","",".",".",".","."
"Professionals","","15","3.480","53.3","13.3","26.7",".",".",".",".","6.7","",".",".",".",".","",".",".",".","."
"","Dept. Total","6341","2.982","27.6","12.9","26.8","8.7","14.1","3.2","1.9","4.7","",".",".",".","0.1","",".","0.0","0.0","0.0"
