"WILDLIFE ECOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"960
WL ECOL","","","","","","","","","","","","","","","","","","","",""
"299","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"318
Principles-Wildlife Ecology","001","","180","2.594","15.0","15.0","18.3","16.1","20.0","11.7","3.9",".",".",".",".",".",".",".",".","."
"319
Ecol Prin Appl to Wildlife","001","","29","3.155","27.6","27.6","10.3","24.1","6.9","3.4",".",".",".",".",".",".",".",".",".","."
"360
Extinction of Species","001","","56","3.627","60.7","14.3","16.1","1.8","5.4",".",".",".",".",".",".",".",".","1.8",".","."
"375
Special Topics","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"401
Physiologicl Animal Ecology","001","","40","2.850","15.0","22.5","15.0","22.5","20.0","5.0",".",".",".",".",".",".",".",".",".","."
"548
Diseases of Wildlife","001","","55","3.200","34.5","12.7","30.9","9.1","10.9",".","1.8",".",".",".",".",".",".",".",".","."
"561
Wildlife Management Tech","001","","30","3.167","30.0","20.0","26.7","6.7","13.3","3.3",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","20","3.553","60.0","5.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".","5.0","."
"681
Senior Honors Thesis","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Special Problems","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799
Pract-Wildlife Ecol Teachng","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"961
Seminar","001","","12","3.667","91.7",".",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
