"L&S","","","","","","","","","","","","","","","","","","","",""
"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"COMP SCI
266","Dept. Total","1752","3.185","28.7","16.8","21.7","9.9","5.4","2.1","2.2","9.0","0.1","3.2","0.1","0.1","",".","0.2","0.2","0.5"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","167","3.043","32.3","12.6","20.4","6.6","7.8","2.4","2.4",".",".","14.4","0.6",".","",".",".",".","0.6"
"Sophomore","","338","3.063","27.5","13.9","27.8","14.2","8.0","2.1","1.8",".",".","4.4","0.3",".","",".",".",".","."
"Junior","","391","3.031","26.6","15.9","25.6","16.9","5.1","2.8","3.8","0.3",".","2.0",".",".","",".","0.8","0.3","."
"Senior","","389","3.096","22.6","21.1","29.6","10.5","8.0","2.6","1.8","0.8",".","1.8",".","0.3","",".","0.3",".","0.8"
"Undergraduates","","1285","3.061","26.4","16.5","26.7","12.9","7.1","2.5","2.5","0.3",".","4.2","0.2","0.1","",".","0.3","0.1","0.3"
"Special","","39","3.250","41.0","15.4","15.4",".","2.6","5.1","5.1","7.7",".","5.1",".",".","",".",".","2.6","."
"Graduate","","462","3.642","39.4","16.5","6.9","1.5","0.4","0.6","0.9","32.5","0.2",".",".",".","",".",".","0.2","0.9"
"","Dept. Total","1786","3.185","30.1","16.5","21.3","9.7","5.3","2.1","2.1","8.8","0.1","3.1","0.1","0.1","",".","0.2","0.2","0.4"
