"BOTANY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"123
Plants, Parasites, & People","001","","78","3.077","21.8","28.2","21.8","12.8","10.3","3.8","1.3",".",".",".",".",".",".",".",".","."
"130
General Botany","001","","178","2.918","28.1","6.2","29.8","9.0","18.5","7.3","0.6",".",".",".",".",".",".",".",".","0.6"
"151","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"151","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"151","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Biology","Course Total","","9","3.278","33.3","11.1","44.4",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"152
Introductory Biology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"160
Heredity","001","","13","3.231","38.5","15.4","38.5",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"240
Plants and Man","001","","101","3.065","23.8","7.9","47.5","5.0","11.9","2.0","1.0","1.0",".",".",".",".",".",".",".","."
"260
Introductory Ecology","001","","97","2.871","20.6","18.6","19.6","13.4","20.6","6.2","1.0",".",".",".",".",".",".",".",".","."
"300
Plant Anatomy","001","","28","3.357","39.3","21.4","25.0",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"330
Algae","001","","17","3.938","88.2",".","5.9",".",".",".",".",".",".",".",".",".",".","5.9",".","."
"339
Plant Biotech:Prin&Technique I","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"400
Plant Systematics","001","","49","3.500","55.1","12.2","20.4",".","8.2","2.0",".","2.0",".",".",".",".",".",".",".","."
"402
Dendrology","001","","15","3.233","40.0","13.3","33.3","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"455
The Vegetation of Wisconsin","001","","24","3.438","41.7","16.7","33.3","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"460
General Ecology","001","","31","3.081","25.8","3.2","54.8","6.5","3.2","6.5",".",".",".",".",".",".",".",".",".","."
"466
General Genetics","001","","9","2.444",".","11.1","33.3","11.1","33.3","11.1",".",".",".",".",".",".",".",".",".","."
"575","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"575","002","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"575","003","","12","3.417","58.3",".","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","21","3.607","71.4",".","14.3","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"621
Plant Biochemistry","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"670
Adaptive Restoration Lab","002","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"691","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"692","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"692","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"698
Directed Study","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 170 of 410",""
