"TERM : 1082","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2007-2008","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"URBAN AND REGIONAL PLANNI","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","","","","",""
"URB R PL
944","Dept. Total","230","3.575","40.4","32.2","18.3","3.0","0.4","",".","",".","4.3","",".",".","",".","0.9","0.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","5","3.300",".","80.0",".","20.0",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","5","3.400","40.0",".","60.0",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","22","3.535","31.8","36.4","18.2",".","4.5","",".","",".","4.5","",".",".","",".",".","4.5",".",".","."
"Undergraduates","","32","3.471","28.1","37.5","21.9","3.1","3.1","",".","",".","3.1","",".",".","",".",".","3.1",".",".","."
"Special","","5","2.833",".",".","40.0","20.0",".","",".","",".","40.0","",".",".","",".",".",".",".",".","."
"Graduate","","193","3.605","43.5","32.1","17.1","2.6",".","",".","",".","3.6","",".",".","",".","1.0",".",".",".","."
"","Dept. Total","230","3.575","40.4","32.2","18.3","3.0","0.4","",".","",".","4.3","",".",".","",".","0.9","0.4",".",".","."
