"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Hist of Africa, 1500-1870","377","001","70","3.148","22.9","38.6","18.6","7.1","4.3",".","7.1",".",".",".",".",".",".","1.4",".","."
"Science in America","394","001","10","2.778","10.0","10.0","20.0","30.0","20.0",".",".","10.0",".",".",".",".",".",".",".","."
"Immigratn&Assimlatn-Am Hist","403","001","70","3.371","37.1","25.7","22.9","7.1","1.4",".","2.9","2.9",".",".",".",".",".",".",".","."
"Am Labor Hist: 1900-Present","408","001","40","3.641","67.5","10.0","10.0","5.0","2.5","2.5",".","2.5",".",".",".",".",".",".",".","."
"History-American Education","412","001","72","2.836","8.3","34.7","20.8","16.7","6.9","2.8","6.9",".",".",".",".",".",".","2.8",".","."
"Russian Social&Intel Hist","420","001","79","3.531","36.7","40.5","12.7","1.3","1.3",".","1.3","2.5",".",".",".",".","2.5","1.3",".","."
"Amer Foreign Rel-1901 on","434","001","223","3.478","33.6","37.7","21.1","4.9","1.3",".","0.4","0.9",".",".",".",".",".",".",".","."
"Hist of Equatorial Africa","445","001","23","3.511","30.4","43.5","13.0","8.7",".",".",".",".",".",".",".",".",".","4.3",".","."
"Am Relig Hist to Mid-19th c","451","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist Southeast Asia to 1800","457","001","40","3.013","20.0","25.0","25.0","17.5","7.5",".","5.0",".",".",".",".",".",".",".",".","."
"Amer Environmental History","460","001","116","3.397","32.8","28.4","25.0","6.9","1.7","1.7",".","3.4",".",".",".",".",".",".",".","."
"The American West to 1850","461","001","120","3.406","30.8","34.2","18.3","3.3","2.5",".","2.5","8.3",".",".",".",".",".",".",".","."
"Dimensions of Material Culture","464","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Pop Culture in Multi-racial US","468","001","24","3.323","41.7","20.8","25.0","8.3",".",".","4.2",".",".",".",".",".",".",".",".","."
"Compar Hist-Chldhood&Adoles","478","001","20","3.450","35.0","40.0","15.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"American Indian History","490","001","42","3.328","28.6","23.8","35.7","2.4",".",".","2.4","7.1",".",".",".",".",".",".",".","."
"Society&Health Care-Am Hist","504","001","8","2.938","25.0","25.0","25.0","12.5",".",".","12.5",".",".",".",".",".",".",".",".","."
"Health, Disease & Healing I","507","001","10","3.750","70.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Eur Cultural Hist 1610-1815","512","001","48","3.186","16.7","43.8","31.3","2.1",".",".","6.3",".",".",".",".",".",".",".",".","."
"","515","001","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","515","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Holocaust: Hist, Memory & Educ","","Course Total","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Indians & Spanish Borderlands","516","001","16","3.469","25.0","50.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Religion-Ancient Mediterranean","517","001","17","3.500","58.8","23.5","5.9","5.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560","001","21","3.190","23.8","14.3","42.9","14.3","4.8",".",".",".",".",".",".",".",".",".",".","."
"Greek & Roman Med & Phcy","561","001","26","2.600","19.2","7.7","26.9",".","30.8","3.8","7.7","3.8",".",".",".",".",".",".",".","."
"","600","001","14","3.536","42.9","28.6","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","600","002","16","3.438","37.5","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","600","003","15","3.433","46.7","33.3","13.3",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","600","004","12","2.958","25.0","33.3",".","25.0","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"","600","005","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","006","15","3.200","33.3","33.3","6.7","20.0",".",".","6.7",".",".",".",".",".",".",".",".","."
"","600","007","17","3.563","35.3","35.3","23.5",".",".",".",".",".",".",".",".",".",".",".",".","5.9"
"","600","008","14","3.500","21.4","57.1","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","009","16","3.700","50.0","31.3","12.5",".",".",".",".",".",".",".",".",".",".","6.3",".","."
"","600","010","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","012","14","3.750","85.7","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"","600","013","14","2.893","21.4","7.1","28.6","14.3","28.6",".",".",".",".",".",".",".",".",".",".","."
"","600","014","15","3.367","40.0","20.0","20.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","600","016","14","3.286","35.7","35.7","14.3","7.1",".",".","7.1",".",".",".",".",".",".",".",".","."
"Advanced Seminar in History","","Course Total","195","3.438","43.1","28.2","14.9","7.2","3.1","0.5","2.1",".",".",".",".",".",".","0.5",".","0.5"
"Honors Thesis Colloquium","680","001","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
