"MEDICAL SCIENCES - VET MED","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","",""
"632
Companion Animal&Equine Med I","001","","72","2.951","6.9","19.4","51.4","1.4","20.8",".",".",".",".",".",".",".",".",".",".","."
"634
Food Animal Medicine","001","","72","2.826","6.9","8.3","52.8","12.5","16.7","2.8",".",".",".",".",".",".",".",".",".","."
"667
Small Animal Neurology","001","","12","4.000","41.7",".",".",".",".",".",".","58.3",".",".",".",".",".",".",".","."
"668
Clin Dermatology Rotation","001","","13","4.000","84.6",".",".",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"669
Small Anml Cardiolgy Rotatn","001","","24","4.000","45.8",".",".",".",".",".",".","54.2",".",".",".",".",".",".",".","."
"670
Sr Rotation:Lrge Animal Med","001","","34","4.000","5.9",".",".",".",".",".",".","94.1",".",".",".",".",".",".",".","."
"672
Sr Rotation:Theriogenology","001","","35","4.000","25.7",".",".",".",".",".",".","74.3",".",".",".",".",".",".",".","."
"674
Sr Rotation:Ambulatory Serv","001","","29","4.000","41.4",".",".",".",".",".",".","58.6",".",".",".",".",".",".",".","."
"675","002","","25","4.000","44.0",".",".",".",".",".",".","56.0",".",".",".",".",".",".",".","."
"675","003","","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","004","","29","4.000","37.9",".",".",".",".",".",".","62.1",".",".",".",".",".",".",".","."
"675","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"675","024","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","026","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","105","4.000","32.4",".",".",".",".",".",".","67.6",".",".",".",".",".",".",".","."
"676
Sr Rotation:Swine Medicine","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"678","001","","47","4.000","68.1",".",".",".",".",".",".","31.9",".",".",".",".",".",".",".","."
"678","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","","48","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"679
Small Animal Oncology","001","","16","4.000","81.3",".",".",".",".",".",".","18.8",".",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","15","3.955","80.0","6.7",".",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"701
Production Medicine I","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"703
Production Medicine II","001","","8","4.000","37.5",".",".",".",".",".",".","62.5",".",".",".",".",".",".",".","."
"705
Prod Med III-Appl Dy Nutr","001","","7","4.000","42.9",".",".",".",".",".",".","57.1",".",".",".",".",".",".",".","."
"775","001","","27","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"775","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","46","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
