"RURAL SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"864
RUR SOC","","","","","","","","","","","","","","","","","","","",""
"140
Intro-Rural Sociol&Development","001","","21","3.452","52.4","23.8","14.3",".","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"210
Survey of Sociology","001","","15","3.167","20.0","46.7","20.0",".","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"211
The Sociological Enterprise","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"357","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"357","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","","9","3.333","44.4","22.2","22.2",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"360
Stats for Sociologists I","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"375","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"375","076","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","4","***","","","","","","","","","","","","","","","",""
"573
Community Organization&Change","001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"617
Community Development","001","","13","3.625","53.8","15.4","15.4","7.7",".",".",".",".",".",".",".",".","7.7",".",".","."
"623
Gender, Society & Politics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","4","***","","","","","","","","","","","","","","","",""
"731
InterSocPsych-Group&Collect","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"748
Environmental Sociology","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Special Topics","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"904
Sociological Perspectvs-Gender","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"925
Soc-Econ Chng-Underdev Area","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"945
Seminar-Rural Sociology","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"985
Rsch:Soc-Envir, Tech, Agrofood","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
"999","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading and Research","Course Total","","5","***","","","","","","","","","","","","","","","",""
