"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","203
011","23","3.261","13.0","39.1","39.1","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","012
203","23","3.283","17.4","43.5","21.7","13.0","4.3",".",".",".",".",".",".",".",".",".",".","."
"","013
203","20","3.100","10.0","45.0","20.0","5.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","014
203","23","2.761","8.7","17.4","34.8","13.0","21.7",".","4.3",".",".",".",".",".",".",".",".","."
"","015
203","24","3.292","12.5","37.5","45.8","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","016
203","24","3.375","37.5","29.2","20.8","4.2","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"","017
203","23","3.261","21.7","39.1","30.4","4.3",".",".","4.3",".",".",".",".",".",".",".",".","."
"","018
203","22","3.136","22.7","18.2","36.4","9.1","13.6",".",".",".",".",".",".",".",".",".",".","."
"","019
203","24","2.833","8.3","25.0","33.3","16.7","8.3","4.2","4.2",".",".",".",".",".",".",".",".","."
"","020
203","24","3.217","29.2","25.0","25.0","8.3","4.2",".","4.2","4.2",".",".",".",".",".",".",".","."
"","021
203","24","3.354","33.3","20.8","29.2","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","022
203","24","3.283","33.3","16.7","33.3","4.2","4.2","4.2",".","4.2",".",".",".",".",".",".",".","."
"","023
203","24","3.396","29.2","29.2","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","024
203","22","3.409","40.9","31.8","9.1","4.5","13.6",".",".",".",".",".",".",".",".",".",".","."
"","025
203","20","3.325","30.0","40.0","20.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"","026
203","24","3.458","29.2","37.5","29.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","027
203","19","2.861","10.5","10.5","47.4","5.3","15.8","5.3",".","5.3",".",".",".",".",".",".",".","."
"Third Semester Spanish","Course Total","614","3.220","23.8","28.8","30.1","7.7","6.5","1.3","1.1","0.7",".",".",".",".",".",".",".","."
"","204
001","22","3.295","13.6","40.9","40.9",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","002
204","19","2.737","10.5","21.1","26.3","21.1","10.5","5.3","5.3",".",".",".",".",".",".",".",".","."
"","003
204","21","3.286","33.3","38.1","14.3",".","9.5",".","4.8",".",".",".",".",".",".",".",".","."
"","004
204","23","3.283","30.4","26.1","26.1","4.3","13.0",".",".",".",".",".",".",".",".",".",".","."
"","005
204","22","3.341","27.3","36.4","27.3","4.5",".","4.5",".",".",".",".",".",".",".",".",".","."
"","006
204","23","3.435","43.5","26.1","21.7",".","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"","007
204","22","3.114","31.8","18.2","22.7","13.6","9.1",".","4.5",".",".",".",".",".",".",".",".","."
"","008
204","24","3.396","45.8","16.7","16.7","12.5","8.3",".",".",".",".",".",".",".",".",".",".","."
"","009
204","24","3.000","25.0","12.5","29.2","12.5","8.3","8.3",".","4.2",".",".",".",".",".",".",".","."
"","010
204","23","2.913","21.7","13.0","30.4","13.0","17.4",".","4.3",".",".",".",".",".",".",".",".","."
"","011
204","22","3.636","54.5","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
204","20","2.900","20.0","25.0","25.0","15.0","5.0",".","10.0",".",".",".",".",".",".",".",".","."
"","013
204","22","3.341","36.4","22.7","22.7","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","014
204","19","3.026","21.1","15.8","42.1","10.5","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","015
204","22","2.929","4.5","18.2","54.5","4.5","9.1","4.5",".","4.5",".",".",".",".",".",".",".","."
"","016
204","23","3.196","17.4","34.8","30.4","4.3","13.0",".",".",".",".",".",".",".",".",".",".","."
"","017
204","22","2.857",".","9.1","63.6","9.1","13.6",".",".","4.5",".",".",".",".",".",".",".","."
"","018
204","20","3.075","10.0","30.0","45.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","019
204","23","3.304","26.1","30.4","30.4","4.3","8.7",".",".",".",".",".",".",".",".",".",".","."
"","020
204","22","3.295","45.5","9.1","31.8","4.5",".","9.1",".",".",".",".",".",".",".",".",".","."
"","021
204","23","2.913","26.1","8.7","34.8","8.7","8.7","13.0",".",".",".",".",".",".",".",".",".","."
"","022
204","21","3.405","42.9","14.3","28.6","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"","023
204","23","3.457","34.8","34.8","21.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Spanish","Course Total","505","3.186","27.3","22.6","30.9","7.3","7.5","2.4","1.4","0.6",".",".",".",".",".",".",".","."
"","223
001","193","3.492","49.2","18.1","20.2","5.7","5.2",".","0.5","0.5","0.5",".",".",".",".",".",".","."
"","002
223","22","3.795","63.6","31.8","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Hispanic Cultures","Course Total","215","3.523","50.7","19.5","18.6","5.1","4.7",".","0.5","0.5","0.5",".",".",".",".",".",".","."
