"","014
999","2","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","015
999","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","017
999","4","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Independent Reading & Rsch","Course Total","29","3.825","79.3","10.3",".","3.4","3.4","",".",".",".","",".",".","",".","",".","3.4",".",".","."
"L I S
544","Dept. Total","670","3.794","67.3","24.9","4.2","0.7","0.6","",".","0.3","0.7","",".",".","",".","",".","0.6","0.1","0.1","0.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","8","3.875","87.5",".","12.5",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","17","3.500","64.7","11.8","11.8","5.9",".","",".","5.9",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","25","3.620","72.0","8.0","12.0","4.0",".","",".","4.0",".","",".",".","",".","",".",".",".",".","."
"Special","","39","3.559","43.6","41.0","2.6",".","2.6","",".","2.6","2.6","",".",".","",".","",".",".","2.6","2.6","."
"Graduate","","606","3.815","68.6","24.6","4.0","0.7","0.5","",".",".","0.7","",".",".","",".","",".","0.7",".",".","0.3"
"","Dept. Total","670","3.794","67.3","24.9","4.2","0.7","0.6","",".","0.3","0.7","",".",".","",".","",".","0.6","0.1","0.1","0.3"
