"","051
990","1","***","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","053
990","2","***","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","056
990","1","***","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"Research and Thesis","Course Total","9","",".",".",".",".",".","",".","",".","100.0","",".",".",".","",".","",".",".",".","."
"ANATOMY
144","Dept. Total","391","3.757","72.4","12.0","11.5","1.5","0.3","",".","",".","2.3","",".",".",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Sophomore","","4","4.000","100.0",".",".",".",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Junior","","8","3.957","87.5","12.5",".",".",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Senior","","13","4.000","100.0",".",".",".",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Undergraduates","","26","3.985","96.2","3.8",".",".",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Special","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Graduate","","36","4.000","77.8",".",".",".",".","",".","",".","22.2","",".",".",".","",".","",".",".",".","."
"Prof Yr 1","","327","3.739","70.0","14.1","13.8","1.8","0.3","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Prof Yr 4","","1","",".",".",".",".",".","",".","",".","100.0","",".",".",".","",".","",".",".",".","."
"Professionals","","328","3.739","69.8","14.0","13.7","1.8","0.3","",".","",".","0.3","",".",".",".","",".","",".",".",".","."
"","Dept. Total","391","3.757","72.4","12.0","11.5","1.5","0.3","",".","",".","2.3","",".",".",".","",".","",".",".",".","."
