"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","180","3.198","19.4","34.4","23.9","13.9","6.1","1.1","0.6","0.6",".",".",".",".",".",".",".","."
"","002
301","28","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
301","27","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
301","23","3.543","56.5","17.4","13.0","4.3","8.7",".",".",".",".",".",".",".",".",".",".","."
"Human Abilities & Learning","Course Total","258","3.381","36.8","27.9","18.6","10.1","5.0","0.8","0.4","0.4",".",".",".",".",".",".",".","."
"","320
001","125","3.012","12.0","24.0","37.6","12.0","12.0","2.4",".",".",".",".",".",".",".",".",".","."
"","002
320","138","3.464","44.9","26.8","13.0","9.4","4.3","1.4",".",".",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","Course Total","263","3.249","29.3","25.5","24.7","10.6","8.0","1.9",".",".",".",".",".",".",".",".",".","."
"Human Develop-Adolescence","321
001","96","3.421","27.1","46.9","18.8","3.1","1.0",".","2.1","1.0",".",".",".",".",".",".",".","."
"Contemp Issues in Ed Psych","506
001","14","3.607","85.7",".",".","7.1",".",".","7.1",".",".",".",".",".",".",".",".","."
"","521
001","29","3.776","62.1","31.0","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
521","26","3.865","73.1","26.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adolscnt Develp-Educ Contxt","Course Total","55","3.818","67.3","29.1","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Prof School Psych","540
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Behav Anal in Classrms","541
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found of Ed Measurement","570
001","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","014
699","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","054
699","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","7","3.935","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Research in Ed Psych I","709
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
002","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
711","19","4.000","89.5",".",".",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"","004
711","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
711","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","007
711","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","008
711","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
711","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","69","3.929","85.5","10.1","1.4",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","13","3.625","23.1","69.2",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Socl, Emotionl&Behav Assessmnt","741
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
001","39","3.855","71.8","23.1","2.6",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"","002
760","39","3.882","74.4","23.1",".",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"Stat Meth Appl to Educ I","Course Total","78","3.868","73.1","23.1","1.3",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"Intro: Dsgn-Ed Experiments","762
001","16","3.563","31.3","50.0","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Test Construction","771
001","14","3.731","57.1","21.4","14.3",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Tools for Thought","792
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Learning Sciences I","795
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
840","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
840","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chld&Adoles Psychpathl/Schl","001
844","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
