"LAFOLLETTE SCHOOL PUB AFF Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","",""
"734
001
Regional Econ Prob Analysis","1","***","","","","","","","","","",".",".",".",".",".",".","."
"765
001
Issues in Educ Policy Analysis","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"013
799","1","***","","","","","","","","","",".",".",".",".",".",".","."
"014
799","2","***","","","","","","","","","",".",".",".",".",".",".","."
"026
799","1","***","","","","","","","","","",".",".",".",".",".",".","."
"027
799","47","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Course Total
Independent Reading","52","3.938","5.8","1.9",".",".",".",".",".","90.4",".",".",".",".","1.9",".",".","."
"809
001
Energy Analys & Policy Smr","5","***","","","","","","","","","",".",".",".",".",".",".","."
"818
001","42","3.393","26.2","28.6","42.9","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"002
818","13","3.462","30.8","30.8","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Quant Tools-Pub Pol Analysis","55","3.409","27.3","29.1","41.8","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"827
001
Administrative Internship","4","***","","","","","","","","","",".",".",".",".",".",".","."
"830
001
Financng Elem&Secondry Educ","1","***","","","","","","","","","",".",".",".",".",".",".","."
"850
001
International Governance","19","3.368","26.3","31.6","31.6","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"856
001
Trade, Competition&Governance","14","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"871
001
Public Program Evaluation","13","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"874
001
Policy-Making Process","23","3.614","47.8","26.1","17.4","4.3",".",".",".","4.3",".",".",".",".",".",".",".","."
"875
001
Public Personnel Adm","14","3.885","71.4","21.4",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"878
001
Public Management","7","3.500","14.3","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"880
001","30","3.233","26.7","16.7","36.7","16.7","3.3",".",".",".",".",".",".",".",".",".",".","."
"002
880","17","3.412","41.2","23.5","17.6","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Microecon Policy Analysis","47","3.298","31.9","19.1","29.8","14.9","4.3",".",".",".",".",".",".",".",".",".",".","."
"001
882
Social Welfare Policy & Mgmt","22","3.705","50.0","40.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"885
001
Adv Pub Mgt:Constrnts&Acctblty","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"890
001
Fed Budget&Tax Policy&Admin","8","3.563","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"895
001
Performance Management","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"PUB AFFR
Dept. Total
826","307","3.525","32.2","27.0","18.9","3.6","0.7",".",".","16.9",".",".",".",".","0.7",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","",""
"Senior","27","3.425","25.9","22.2","18.5","3.7","3.7",".",".","25.9",".",".",".",".",".",".",".","."
"Undergraduates","27","3.425","25.9","22.2","18.5","3.7","3.7",".",".","25.9",".",".",".",".",".",".",".","."
"Special","6","3.700","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Graduate","265","3.524","32.1","27.9","19.2","3.8","0.4",".",".","16.2",".",".",".",".","0.4",".",".","."
"Prof Yr 2","4","4.000","75.0",".",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Prof Yr 3","5","3.500","20.0","40.0","20.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Professionals","9","3.714","44.4","22.2","11.1",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"Dept. Total","307","3.525","32.2","27.0","18.9","3.6","0.7",".",".","16.9",".",".",".",".","0.7",".",".","."
