"SURGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","",""
"501
Radiographic Anat-Dog&Cat","001","","81","3.667","54.3","30.9","11.1","1.2","2.5",".",".",".",".",".",".",".",".",".",".","."
"542
Veterinary Ophthalmology","001","","72","3.333","27.8","30.6","22.2","19.4",".",".",".",".",".",".",".",".",".",".",".","."
"630
Small Animal Surgery","001","","72","2.931","6.9","12.5","54.2","12.5","13.9",".",".",".",".",".",".",".",".",".",".","."
"632
Small Animal Surgery Lab","001","","72","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"634
Small Animal Anesthesia Lab","001","","72","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"642","001","","35","3.500","14.3",".",".",".",".","2.9",".","82.9",".",".",".",".",".",".",".","."
"642","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Large Animal Surgery","Course Total","","36","3.500","13.9",".",".",".",".","2.8",".","83.3",".",".",".",".",".",".",".","."
"644
Small Orthopedic Surgery","001","","21","4.000","28.6",".",".",".",".",".",".","71.4",".",".",".",".",".",".",".","."
"645","001","","37","4.000","37.8",".",".",".",".",".",".","62.2",".",".",".",".",".",".",".","."
"645","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","Course Total","","41","4.000","41.5",".",".",".",".",".",".","58.5",".",".",".",".",".",".",".","."
"646
Veterinary Anesthesiology","001","","26","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"647
Radiology Clinics","001","","30","4.000","26.7",".",".",".",".",".",".","73.3",".",".",".",".",".",".",".","."
"675","001","","15","4.000","40.0",".",".",".",".",".",".","60.0",".",".",".",".",".",".",".","."
"675","003","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","004","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","31","4.000","19.4",".",".",".",".",".",".","80.6",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","12","3.957","50.0","8.3",".",".",".",".",".","41.7",".",".",".",".",".",".",".","."
"741
Clinical Ophthalm Rotation","001","","26","4.000","30.8",".",".",".",".",".",".","69.2",".",".",".",".",".",".",".","."
"748
Dentistry & Oral Surg Rotation","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"775","001","","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","003","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","48","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"812
Rsch Ethics&Career Development","001","","17","4.000","94.1",".",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
