"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"PHM","","","","","","","","","","","","","","","","","","","","","",""
"PHM","College Total","2560","3.393","36.4","21.5","23.1","10.1","5.5","1.1","0.1","2.1","",".",".","",".",".","",".",".","0.1","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"PHM","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","6","3.375","50.0","16.7","16.7",".","16.7",".",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","117","3.172","35.0","17.1","23.9","9.4","11.1","2.6","0.9",".","",".",".","",".",".","",".",".",".","."
"Senior","","199","3.172","33.2","17.1","24.6","14.6","7.0","3.0","0.5",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","323","3.177","34.4","17.0","24.1","12.4","8.7","2.8","0.6",".","",".",".","",".",".","",".",".",".","."
"Special","","11","3.559","45.5","9.1","36.4",".",".",".",".",".","",".",".","",".",".","",".",".","9.1","."
"Graduate","","185","3.906","63.2","7.6","1.1",".",".",".",".","28.1","",".",".","",".",".","",".",".",".","."
"Prof Yr 1","","505","3.153","37.2","21.4","23.2","13.1","4.8","0.2",".",".","",".",".","",".",".","",".",".","0.2","."
"Prof Yr 2","","768","3.152","35.0","16.1","26.2","12.2","8.5","1.6","0.1","0.1","",".",".","",".","0.1","",".",".",".","."
"Prof Yr 3","","892","3.398","41.7","24.2","24.2","5.7","3.3","0.6",".","0.1","",".",".","",".","0.2","",".",".",".","."
"Prof Yr 4","","251","3.834","78.5","13.5","4.8","2.8","0.4",".",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","","2416","3.403","42.5","20.0","22.6","9.0","4.9","0.7","0.0","0.1","",".",".","",".","0.1","",".",".","0.0","."
"","College Total","2935","3.393","42.9","18.8","21.5","8.8","5.0","0.9","0.1","1.8","",".",".","",".","0.1","",".",".","0.1","."
