"","047
999","4","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","055
999","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","057
999","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Reading","Course Total","23","4.000","95.7",".",".","",".","",".","",".",".",".",".",".","",".",".","4.3",".",".","."
"ELPA
305","Dept. Total","582","3.909","67.2","8.2","2.1","",".","",".","",".","0.2","17.7","0.5",".","",".","1.4","2.7",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","10","3.722","70.0","10.0","20.0","",".","",".","",".",".",".",".",".","",".",".",".",".",".","."
"Undergraduates","","10","3.722","70.0","10.0","20.0","",".","",".","",".",".",".",".",".","",".",".",".",".",".","."
"Special","","45","3.893","88.9","2.2",".","",".","",".","",".","2.2","4.4",".",".","",".",".","2.2",".",".","."
"Graduate","","533","3.914","65.7","8.6","1.9","",".","",".","",".",".","18.9","0.6",".","",".","1.5","2.8",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".","",".","",".","",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 3","","2","4.000","100.0",".",".","",".","",".","",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","3","4.000","100.0",".",".","",".","",".","",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","591","3.909","67.7","8.1","2.0","",".","",".","",".","0.2","17.4","0.5",".","",".","1.4","2.7",".",".","."
