"GERMAN","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","",""
"","101
001","20","3.400","40.0","25.0","20.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","002
101","21","3.600","57.1","4.8","28.6","4.8",".",".",".","4.8",".",".",".",".",".",".",".","."
"","003
101","19","3.605","63.2","26.3",".",".","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","004
101","23","3.804","73.9","13.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
101","17","3.647","64.7","11.8","17.6",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","006
101","20","3.211","35.0","15.0","20.0","5.0","20.0",".",".","5.0",".",".",".",".",".",".",".","."
"First Semester German","Course Total","120","3.551","55.8","15.8","16.7","2.5","6.7","0.8",".","1.7",".",".",".",".",".",".",".","."
"","102
002","15","3.700","66.7","20.0","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","003
102","20","3.375","50.0","20.0","10.0","5.0","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"","004
102","14","3.643","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester German","Course Total","49","3.551","55.1","22.4","12.2","2.0","6.1","2.0",".",".",".",".",".",".",".",".",".","."
"","001
111","11","3.818","81.8",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
111","6","3.800","66.7",".","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"First Semester Dutch","Course Total","17","3.813","76.5",".","17.6",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","203
001","15","3.733","73.3","13.3","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","002
203","15","3.667","53.3","26.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
203","13","3.423","15.4","53.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
203","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
203","15","3.536","33.3","40.0","13.3","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"","006
203","13","3.269","30.8","15.4","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Third Semester German","Course Total","85","3.583","47.1","28.2","18.8","2.4","2.4",".",".","1.2",".",".",".",".",".",".",".","."
"","001
204","20","3.650","70.0","10.0","15.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"","002
204","19","3.447","63.2","10.5","10.5","5.3","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","003
204","18","3.667","61.1","22.2","5.6","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","004
204","16","3.719","56.3","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
204","16","3.531","50.0","25.0","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester German","Course Total","89","3.601","60.7","19.1","11.2","4.5","2.2","1.1","1.1",".",".",".",".",".",".",".",".","."
"Third Semester Dutch","213
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","221
001","12","3.417","33.3","25.0","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","002
221","21","3.333","28.6","23.8","38.1","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","003
221","24","3.250","33.3","33.3","25.0",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Intro-German Lit & Culture I","Course Total","57","3.316","31.6","28.1","31.6","3.5","1.8",".","3.5",".",".",".",".",".",".",".",".","."
"Intro-German Lit & Culture II","222
001","14","3.607","42.9","35.7","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
001","21","3.452","33.3","33.3","23.8","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","002
225","18","3.375","44.4","11.1","16.7","11.1",".","5.6",".","11.1",".",".",".",".",".",".",".","."
"","003
225","18","3.194","27.8","16.7","38.9","11.1",".","5.6",".",".",".",".",".",".",".",".",".","."
"","004
225","21","3.286","19.0","23.8","52.4","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","005
225","23","3.696","60.9","26.1","8.7",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Composition & Conversatn I","Course Total","101","3.414","37.6","22.8","27.7","6.9","1.0","2.0",".","2.0",".",".",".",".",".",".",".","."
"","001
226","19","3.211","15.8","31.6","31.6","21.1",".",".",".",".",".",".",".",".",".",".",".","."
"","002
226","20","3.350","10.0","50.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Composition & Conversatn II","Course Total","39","3.282","12.8","41.0","35.9","10.3",".",".",".",".",".",".",".",".",".",".",".","."
"Dutch Conversatn&Compositn","235
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Dutch Life & Culture","245
001","25","3.660","88.0","4.0",".",".",".",".","8.0",".",".",".",".",".",".",".",".","."
