"L&S","","","","","","","","","","","","","","","","","","","","","","","",""
"ASIAN AMERICAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","","","","","","",""
"Intro to Asian Amer Studies","101
001","29","3.483","51.7","6.9","31.0","6.9","3.4",".","",".","",".",".","",".",".","",".","",".",".",".","."
"Asian American Movement","153
001","25","3.880","88.0","4.0","4.0","4.0",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"Ethnic Movements in U.S.","220
001","25","3.480","24.0","52.0","20.0","4.0",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"Topics-Asian Amer Studies","240
001","29","3.328","27.6","34.5","20.7","10.3","6.9",".","",".","",".",".","",".",".","",".","",".",".",".","."
"Topics-Asian Amer Culture","260
001","31","2.850","6.5","6.5","48.4","22.6","12.9",".","",".","",".",".","",".",".","",".","","3.2",".",".","."
"Survey of Asian Americn Lit","270
001","14","3.423","28.6","28.6","28.6","7.1",".",".","",".","",".",".","",".",".","",".","",".",".",".","7.1"
"Humanities Topics","560
001","8","3.833","50.0","25.0",".",".",".",".","",".","","25.0",".","",".",".","",".","",".",".",".","."
"ASIAN AM
184","Dept. Total","161","3.408","37.9","21.1","24.8","9.3","4.3","",".","",".","1.2","",".",".","",".","",".","0.6",".",".","0.6"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","7","3.214","42.9",".","28.6","14.3","14.3","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","20","3.612","60.0","10.0","15.0","5.0","5.0","",".","",".",".","",".",".","",".","",".","5.0",".",".","."
"Junior","","54","3.420","38.9","16.7","31.5","9.3","1.9","",".","",".",".","",".",".","",".","",".",".",".",".","1.9"
"Senior","","79","3.387","31.6","29.1","22.8","10.1","3.8","",".","",".","2.5","",".",".","",".","",".",".",".",".","."
"Undergraduates","","160","3.417","38.1","21.3","25.0","9.4","3.8","",".","",".","1.3","",".",".","",".","",".","0.6",".",".","0.6"
"Special","","1","2.000",".",".",".",".","100.0","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","161","3.408","37.9","21.1","24.8","9.3","4.3","",".","",".","1.2","",".",".","",".","",".","0.6",".",".","0.6"
