"","021
990","2","***","","","","","","","","","",".",".",".",".","",".",".","."
"","025
990","2","***","","","","","","","","","",".",".",".",".","",".",".","."
"","035
990","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"Research and Thesis","Course Total","16","",".",".",".",".",".",".",".","68.8","12.5",".",".","18.8","",".",".",".","."
"ART HIST
180","Dept. Total","1114","3.242","29.0","24.8","20.9","8.9","4.9","1.3","1.9","6.2","0.2",".",".","0.3","",".","0.9","0.6","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","136","3.110","22.1","32.4","22.8","8.8","7.4","2.2","3.7",".",".",".",".",".","",".",".",".","0.7"
"Sophomore","","225","3.180","27.1","30.2","19.1","12.9","5.3","3.6","1.3","0.4",".",".",".",".","",".",".",".","."
"Junior","","267","3.126","27.0","24.7","23.6","12.0","6.7","0.4","4.1","0.7",".",".",".",".","",".","0.4",".","0.4"
"Senior","","327","3.342","30.6","27.2","25.7","7.3","4.0","0.6","0.6","4.0",".",".",".",".","",".",".",".","."
"Undergraduates","","955","3.204","27.5","28.0","23.1","10.2","5.5","1.5","2.2","1.7",".",".",".",".","",".","0.1",".","0.2"
"Special","","63","3.300","6.3",".","3.2","1.6","1.6",".",".","63.5",".",".",".",".","",".","14.3","9.5","."
"Graduate","","96","3.767","58.3","9.4","10.4","1.0","1.0",".",".","13.5","2.1",".",".","3.1","",".",".","1.0","."
"","Dept. Total","1114","3.242","29.0","24.8","20.9","8.9","4.9","1.3","1.9","6.2","0.2",".",".","0.3","",".","0.9","0.6","0.2"
