"L&S","","","","","","","","","","","","","","","","","","",""
"SPANISH (SPANISH AND PORTU Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"SPANISH
Dept. Total
912","3788","3.270","33.7","22.4","26.3","6.4","6.7","1.6","1.3","1.4","0.0",".","",".","0.1","0.0","0.0","0.0","0.0"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"Freshmen","1075","3.288","28.7","26.7","31.7","5.2","5.2","1.1","1.2",".",".",".","",".",".",".",".",".","0.1"
"Sophomore","890","3.203","28.3","23.5","28.0","8.9","8.7","1.8","0.7","0.2",".",".","",".",".",".",".",".","."
"Junior","809","3.263","34.9","20.8","26.2","7.5","7.0","1.5","0.9","1.0",".",".","",".",".",".","0.1","0.1","."
"Senior","828","3.266","40.5","18.4","22.5","5.2","7.1","2.2","2.4","1.6","0.1",".","",".",".","0.1",".",".","."
"Undergraduates","3602","3.257","32.7","22.7","27.4","6.6","6.9","1.6","1.3","0.6","0.0",".","",".",".","0.0","0.0","0.0","0.0"
"Special","19","3.289","68.4","10.5",".",".","10.5","5.3","5.3",".",".",".","",".",".",".",".",".","."
"Graduate","165","3.689","52.7","17.6","6.1","1.8","0.6",".","1.2","18.2",".",".","",".","1.8",".",".",".","."
"Prof Yr 2","2","3.500",".","50.0",".",".",".",".",".","50.0",".",".","",".",".",".",".",".","."
"Professionals","2","3.500",".","50.0",".",".",".",".",".","50.0",".",".","",".",".",".",".",".","."
"Dept. Total","3788","3.270","33.7","22.4","26.3","6.4","6.7","1.6","1.3","1.4","0.0",".","",".","0.1","0.0","0.0","0.0","0.0"
