"KINESIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","","",""
"","116","001","","22","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","116","002","","23","3.652","52.2","30.4","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"First Aid","","Course Total","","45","3.667","48.9","37.8","11.1","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Kinesiology","119","001","","60","3.092","10.0","26.7","41.7","15.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"Foundations of Physical Educ","121","001","","13","3.385","30.8","15.4","53.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gymnastics for Teaching","126","001","","9","3.688","44.4","33.3","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Intro to Athletic Training","127","001","","37","2.905","5.4","18.9","40.5","21.6","13.5",".",".",".",".",".",".",".",".",".",".","."
"","300","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","002","","20","3.974","90.0","5.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","300","003","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","004","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Kinesiology","","Course Total","","37","3.939","89.2","5.4","2.7",".",".",".",".",".",".",".",".",".","2.7",".",".","."
"Adv Tech-Athletic Training","301","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiology of Exercise","314","001","","44","3.352","15.9","45.5","34.1","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"Measurement-Motor Behavior","315","001","","44","3.636","47.7","31.8","20.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adapted Physical Activity","316","001","","15","3.733","46.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recog&Eval-Athletc Injuries","317","001","","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomechanics of Human Movement","318","001","","43","3.128","16.3","30.2","30.2","9.3","14.0",".",".",".",".",".",".",".",".",".",".","."
"","323","001","","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323","002","","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323","003","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Ed-Elem School Children","","Course Total","","69","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Specialized Tchg Experience","332","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods of Teachng Elem Phy Ed","335","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Exercise Psychology","350","001","","55","3.409","41.8","20.0","21.8","10.9","5.5",".",".",".",".",".",".",".",".",".",".","."
"Rehab/Treat Athltc Injuries","358","001","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361","001","","45","3.602","55.6","17.8","17.8","2.2","4.4",".",".",".",".",".",".",".","2.2",".",".","."
"Assessmnt&Progrmg Adaptd PE","364","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","6","3.875","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field-Athletic Training","450","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Athletic Training","499","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Activity & Health","521","001","","20","3.625","75.0","5.0","15.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"Advanced Exercise Psychology","600","001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biol Factors-Exercise Perf","614","001","","25","2.940","4.0","36.0","40.0",".","12.0","8.0",".",".",".",".",".",".",".",".",".","."
"Lab Tech-Exercise Physiol","615","001","","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
