"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Program","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"200
Biomedical Engr Design","001","","33","3.424","24.2","39.4","33.3","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"300
Biomed Engineering Design","001","","55","3.636","38.2","50.9","10.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"315
Biomechanics","001","","65","3.445","38.5","20.0","30.8","9.2",".",".",".","1.5",".",".",".",".",".",".",".","."
"320
Intro Transport Phenomena","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"389
Honors in Research","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","037","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","064","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","17","3.941","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"400
Capstone Design Course","001","","46","3.478","26.1","47.8","21.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"462","001","","13","3.500","53.8","15.4","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"462","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Medical Instrumentation","Course Total","","14","3.500","50.0","21.4","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"463","001","","15","3.667","46.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"463","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Computers in Medicine","Course Total","","16","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"489
Honors in Research","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"501
Radiolgcal Physcs&Dosimetry","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"510
Intro to Tissue Engineering","001","","21","3.600","38.1","42.9","9.5","4.8",".",".",".","4.8",".",".",".",".",".",".",".","."
"517
Biology in Engineering Seminar","001","","36","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"567
Physics-Diagnostic Radiol","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"573
Med Imag Sci:Determnistc Aspct","001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"601
Special Topics-Biomed Engr","004","","6","3.559","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"603
Topics-Bio-Medical Engr","001","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"615
Tissue Mechanics","001","","17","3.794","70.6","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","10","4.000","80.0",".",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"783
Design of Biological Molecules","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 103 of 410",""
