"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"","854
015","","26","",".",".",".",".",".",".",".","80.8",".",".",".",".",".",".",".","19.2"
"","016
854","","16","",".",".",".",".",".",".",".","81.3",".",".",".",".",".",".",".","18.8"
"","017
854","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","018
854","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Clinical Program","Course Total","","171","",".",".",".",".",".",".",".","91.8",".",".",".",".",".",".",".","8.2"
"Advanced Criminal Procedure","860
001","","21","",".",".",".",".",".",".",".","81.0",".",".",".",".",".",".",".","19.0"
"","862
001","","42","",".",".",".",".",".",".",".","76.2",".",".",".",".",".",".",".","23.8"
"","002
862","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Institutionalized Persons","Course Total","","44","",".",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","25.0"
"Litigation in Criminl Cases","863
001","","14","1.214","14.3",".","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Taxation III","867
001","","9","1.889",".","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Trade Law","871
001","","27","1.050","7.4","7.4","7.4",".",".",".",".","25.9",".",".",".",".",".",".",".","."
"Immigration Law","873
001","","36","1.472","13.9",".","25.0",".","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"Client Counselling","880
001","","12","0.875","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wisconsin Internl Law Journ","895
001","","66","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Womens Law Journal","896
001","","30","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Law Review","899
001","","82","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Constitutional Law Seminar","904
001","","23","1.273","17.4",".","17.4",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Bioethics and the Law","905
001","","20","1.000","10.0",".","10.0",".","10.0",".",".","10.0",".",".",".",".",".",".",".","."
"Probs-Pro Responsblty Smr","907
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Psychiatry and Law","911
001","","7","1.714","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Probs-Commercial Law","913
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","915
001","","12","",".",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","25.0"
"","002
915","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
915","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Probs-Criminal Justice Adm","Course Total","","19","2.176","10.5","5.3","5.3",".",".",".",".","47.4",".",".",".",".",".",".",".","15.8"
"","918
001","","8","2.500","25.0","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"","002
918","","21","1.786","19.0","4.8","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Problems: Intl Law Seminar","Course Total","","29","1.964","20.7","6.9","27.6",".",".",".",".",".",".",".",".",".",".",".","3.4","."
"The Holocaust:Facts, Trials","919
001","","13","2.182","46.2",".",".",".",".",".",".","7.7",".",".",".",".",".",".","7.7","."
"Problems of Adm Law-Seminar","932
001","","8","1.938","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Law & Admin Seminar","935
001","","20","1.579","15.0",".","30.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","939
001","","19","1.327","21.1",".","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
939","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Problems in Family Law-Smr","Course Total","","24","1.175","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
940","","10","2.550","50.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","002
940","","35","1.586","22.9","2.9","17.1",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"","003
940","","6","1.167","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
940","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","005
940","","12","1.182",".","16.7","16.7",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","006
940","","29","2.448","27.6",".","44.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
940","","16","2.281","25.0","6.3","31.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","008
940","","11","3.466","45.5","9.1","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 332 of 410",""
