"","033
990","3","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","034
990","2","***","","","","","","","","","","",".",".",".","",".",".",".","."
"Research","Course Total","47","",".",".",".",".",".",".",".","100.0","",".",".",".","",".",".",".",".","."
"Advanced Independent Study","999
011","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"ATM OCN
640","Dept. Total","1143","2.945","18.4","17.1","22.5","14.4","11.5","3.6","1.6","5.1","",".","5.2",".","",".","0.1","0.3",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","202","2.874","14.9","20.3","28.2","14.9","14.4","4.5","2.5",".","",".",".",".","",".",".","0.5",".","."
"Sophomore","","370","2.885","15.4","18.6","28.6","18.1","13.2","3.5","1.9",".","",".",".",".","",".",".","0.3",".","0.3"
"Junior","","208","2.861","19.7","17.3","24.0","15.4","15.4","6.3","1.4",".","",".","0.5",".","",".",".",".",".","."
"Senior","","180","2.979","23.3","18.9","16.7","18.3","12.2","3.3","1.7","2.2","",".","2.8",".","",".",".","0.6",".","."
"Undergraduates","","960","2.894","17.7","18.8","25.3","16.9","13.8","4.3","1.9","0.4","",".","0.6",".","",".",".","0.3",".","0.1"
"Special","","16","3.688","62.5","6.3","12.5","6.3",".",".",".",".","",".",".",".","",".","6.3","6.3",".","."
"Graduate","","167","3.602","18.0","9.0","7.2","1.2",".",".",".","32.3","",".","32.3",".","",".",".",".",".","."
"","Dept. Total","1143","2.945","18.4","17.1","22.5","14.4","11.5","3.6","1.6","5.1","",".","5.2",".","",".","0.1","0.3",".","0.1"
