"EGR","","","","","","","","","","","","","","","","","","","","","",""
"CHEMICAL & BIOLOGICAL ENGR Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","","","",""
"CBE
Dept. Total
220","680","3.271","34.1","15.6","16.8","8.2","7.4","1.2","",".","14.9","",".","1.6","",".","0.1","",".",".",".","0.1"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","23","3.008","21.7","26.1","21.7","13.0","13.0","4.3","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","96","3.036","28.1","16.7","16.7","19.8","15.6","1.0","",".",".","",".","1.0","",".",".","",".",".",".","1.0"
"Senior","300","3.190","39.3","17.0","20.0","10.0","9.7","2.0","",".","0.3","",".","1.7","",".",".","",".",".",".","."
"Undergraduates","419","3.141","35.8","17.4","19.3","12.4","11.2","1.9","",".","0.2","",".","1.4","",".",".","",".",".",".","0.2"
"Special","2","2.286",".",".",".","50.0","50.0",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","290","3.613","39.0","11.4","11.4","1.0","0.7",".","",".","34.5","",".","1.7","",".","0.3","",".",".",".","."
"Dept. Total","711","3.271","37.0","14.9","16.0","7.9","7.0","1.1","",".","14.2","",".","1.5","",".","0.1","",".",".",".","0.1"
