"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"SURGERY","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","1","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","12","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","14","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","28","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","1","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","85","3.372","21.2","34.1","41.2","",".","",".","",".","",".","2.4","",".",".","",".","",".","",".",".",".","1.2"
"Prof Yr 4","104","3.793","65.4","22.1","7.7","",".","",".","",".","",".","3.8","",".",".","",".","",".","",".",".",".","1.0"
"Professionals","189","3.518","45.5","27.5","22.8","",".","",".","",".","",".","3.2","",".",".","",".","",".","",".",".",".","1.1"
