"EDU","","","","","","","","","","","","","","","","","","",""
"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","300","2.553","11.0","14.0","17.0","16.3","27.3","9.0","2.7","1.3",".",".",".",".",".","1.0",".","0.3"
"","102
001","11","3.950","81.8","9.1",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","002
102","12","2.950","33.3","16.7",".","8.3","8.3","16.7",".","16.7",".",".",".",".",".",".",".","."
"Beginning Swimming","Course Total","23","3.450","56.5","13.0",".","4.3","4.3","8.7",".","13.0",".",".",".",".",".",".",".","."
"","125
001","7","",".",".",".",".",".",".",".","85.7",".",".",".",".",".",".","14.3","."
"","002
125","17","4.000","11.8",".",".",".",".",".",".","82.4",".",".",".",".",".",".",".","5.9"
"","003
125","21","",".",".",".",".",".",".",".","90.5",".",".",".",".",".",".","9.5","."
"","004
125","22","0.000",".",".",".",".",".",".","4.5","54.5",".",".",".",".",".",".","40.9","."
"Adapted Fitness&Pers Traing","Course Total","67","2.667","3.0",".",".",".",".",".","1.5","76.1",".",".",".",".",".",".","17.9","1.5"
"","127
001","14","2.500",".","14.3","7.1","14.3",".",".","7.1","57.1",".",".",".",".",".",".",".","."
"","002
127","18","3.714","38.9","33.3","5.6",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"","003
127","19","3.731","31.6","36.8",".",".",".",".",".","31.6",".",".",".",".",".",".",".","."
"","004
127","19","3.571","31.6","21.1","21.1",".",".",".",".","26.3",".",".",".",".",".",".",".","."
"Bowling I","Course Total","70","3.521","27.1","27.1","8.6","2.9",".",".","1.4","32.9",".",".",".",".",".",".",".","."
"","129
001","18","3.500","27.8","5.6","27.8",".",".",".",".","33.3",".",".",".",".",".","5.6",".","."
"","002
129","26","3.500","26.9","38.5","26.9",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","003
129","23","3.550","34.8","34.8","13.0",".","4.3",".",".","13.0",".",".",".",".",".",".",".","."
"Intro to Yoga Practice","Course Total","67","3.518","29.9","28.4","22.4",".","1.5",".",".","16.4",".",".",".",".",".","1.5",".","."
"","130
001","20","3.206","35.0","25.0","15.0",".",".",".","10.0","10.0","5.0",".",".",".",".",".",".","."
"","002
130","21","3.875","85.7",".","4.8","4.8",".",".",".","4.8",".",".",".",".",".",".",".","."
"Running (Aerobic Fitness)","Course Total","41","3.568","61.0","12.2","9.8","2.4",".",".","4.9","7.3","2.4",".",".",".",".",".",".","."
"","131
001","20","3.556","60.0","15.0","5.0","5.0",".",".","5.0","10.0",".",".",".",".",".",".",".","."
"","002
131","17","3.731","41.2","29.4","5.9",".",".",".",".","23.5",".",".",".",".",".",".",".","."
"","003
131","24","3.857","70.8","8.3","8.3",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","004
131","21","3.531","33.3","14.3","28.6",".",".",".",".","19.0","4.8",".",".",".",".",".",".","."
"Cross Traing-Basic Fitness","Course Total","82","3.676","52.4","15.9","12.2","1.2",".",".","1.2","15.9","1.2",".",".",".",".",".",".","."
"","132
001","18","3.844","66.7","16.7","5.6",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","002
132","19","3.500","47.4","5.3","15.8","15.8",".",".",".","15.8",".",".",".",".",".",".",".","."
"","003
132","19","3.750","47.4","47.4",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","004
132","19","3.588","31.6","42.1","15.8",".",".",".",".","5.3",".",".",".",".",".",".",".","5.3"
"","005
132","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
132","19","3.861","78.9","5.3","10.5",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","007
132","25","3.760","56.0","40.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
132","17","3.969","88.2","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","5.9"
"","009
132","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
132","18","3.344","33.3","33.3","11.1","5.6",".",".","5.6","5.6",".",".",".",".",".","5.6",".","."
"Weight Training","Course Total","193","3.754","61.7","23.3","6.2","2.1",".",".","0.5","4.7",".",".",".",".",".","0.5",".","1.0"
"","001
133","12","3.438","50.0","8.3",".",".",".",".","8.3","25.0",".",".",".",".",".","8.3",".","."
"","002
133","19","3.567","36.8","26.3","10.5",".","5.3",".",".","21.1",".",".",".",".",".",".",".","."
"","003
133","19","3.941","78.9","10.5",".",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"","004
133","23","3.955","87.0","8.7",".",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Rhythmic/Step Aerobics","Course Total","73","3.790","65.8","13.7","2.7",".","1.4",".","1.4","13.7",".",".",".",".",".","1.4",".","."
"","134
001","27","3.882","48.1","14.8",".",".",".",".",".","33.3",".",".",".",".","3.7",".",".","."
"","002
134","20","3.844","60.0","15.0","5.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"","003
134","19","3.964","68.4","5.3",".",".",".",".",".","26.3",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 94 of 410"
