"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"MED SC-M","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","100.0",".",".",".",".",".","."
"Junior","","1","***","","","","","","","","","","100.0",".",".",".",".",".","."
"Senior","","2","***","","","","","","","","","","100.0",".",".",".",".",".","."
"Undergraduates","","4","***","","","","","","","","","","100.0",".",".",".",".",".","."
"Special","","2","***","","","","","","","","","","50.0","50.0",".",".",".",".","."
"Prof Yr 1","","370","",".",".",".",".",".",".",".","90.8","0.5","6.8",".",".",".",".",".","1.9"
"Prof Yr 2","","353","",".",".",".",".",".",".",".","97.5","1.7","0.6",".","0.3",".",".",".","."
"Prof Yr 3","","329","",".",".",".",".",".",".",".","99.4",".",".",".",".","0.6",".",".","."
"Prof Yr 4","","86","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Professionals","","1138","",".",".",".",".",".",".",".","96.0","0.7","2.4",".","0.1","0.2",".",".","0.6"
