"ANATOMY & PHYSIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"146
ANAT&PHY","","","","","","","","","","","","","","","","","","",""
"Human Physiology and Health","235
001","67","2.701","17.9","14.9","16.4","14.9","25.4","9.0","1.5",".",".",".",".",".",".",".",".","."
"","335
001","50","3.310","52.0","10.0","14.0","8.0","10.0","6.0",".",".",".",".",".",".",".",".",".","."
"","335
002","48","3.177","31.3","16.7","31.3","6.3","12.5",".","2.1",".",".",".",".",".",".",".",".","."
"","335
003","49","3.184","38.8","10.2","28.6","6.1","10.2","6.1",".",".",".",".",".",".",".",".",".","."
"","335
004","49","2.939","32.7","10.2","20.4","10.2","16.3","8.2","2.0",".",".",".",".",".",".",".",".","."
"","335
005","45","3.033","35.6","11.1","17.8","8.9","20.0","6.7",".",".",".",".",".",".",".",".",".","."
"","335
006","45","2.967","28.9","8.9","33.3","6.7","13.3","6.7","2.2",".",".",".",".",".",".",".",".","."
"","335
007","49","3.194","38.8","16.3","22.4","2.0","14.3","6.1",".",".",".",".",".",".",".",".",".","."
"","335
008","50","3.150","44.0","12.0","20.0","6.0","8.0","6.0","4.0",".",".",".",".",".",".",".",".","."
"","335
009","45","2.933","26.7","11.1","22.2","24.4","6.7","6.7","2.2",".",".",".",".",".",".",".",".","."
"","335
010","50","3.350","48.0","16.0","14.0","6.0","14.0","2.0",".",".",".",".",".",".",".",".",".","."
"","335
011","49","2.918","28.6","8.2","26.5","8.2","20.4","8.2",".",".",".",".",".",".",".",".",".","."
"","335
012","43","2.884","25.6","11.6","27.9","7.0","18.6","7.0","2.3",".",".",".",".",".",".",".",".","."
"Physiology","Course Total","572","3.092","36.2","11.9","23.1","8.2","13.6","5.8","1.2",".",".",".",".",".",".",".",".","."
"","337
001","174","3.371","48.9","17.8","14.4","5.7","10.3","1.1","1.7",".",".",".",".",".",".",".",".","."
"","337
002","169","3.284","43.2","18.9","14.2","9.5","9.5","4.1","0.6",".",".",".",".",".",".",".",".","."
"","337
003","85","2.935","23.5","14.1","22.4","17.6","17.6","3.5","1.2",".",".",".",".",".",".",".",".","."
"","337
004","84","2.863","21.4","16.7","20.2","17.9","14.3","8.3","1.2",".",".",".",".",".",".",".",".","."
"Human Anatomy","Course Total","512","3.187","38.3","17.4","16.6","10.9","11.9","3.7","1.2",".",".",".",".",".",".",".",".","."
"","338
001","30","3.333","36.7","20.0","26.7","13.3",".","3.3",".",".",".",".",".",".",".",".",".","."
"","338
002","29","3.000","34.5","20.7","13.8","13.8","3.4","6.9","6.9",".",".",".",".",".",".",".",".","."
"","338
003","31","3.194","22.6","38.7","19.4","6.5","6.5","6.5",".",".",".",".",".",".",".",".",".","."
"","338
004","30","3.050","40.0","16.7","10.0","20.0","3.3",".","10.0",".",".",".",".",".",".",".",".","."
"","338
005","31","3.484","41.9","29.0","19.4","3.2","6.5",".",".",".",".",".",".",".",".",".",".","."
"","338
006","32","3.203","40.6","25.0","3.1","9.4","15.6","6.3",".",".",".",".",".",".",".",".",".","."
"","338
007","31","3.565","51.6","29.0","6.5","6.5","6.5",".",".",".",".",".",".",".",".",".",".","."
"","338
008","30","3.333","40.0","20.0","26.7","6.7","3.3",".","3.3",".",".",".",".",".",".",".",".","."
"Human Anatomy Laboratory","Course Total","244","3.273","38.5","25.0","15.6","9.8","5.7","2.9","2.5",".",".",".",".",".",".",".",".","."
"","399
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
005","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
006","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
