"PHILOSOPHY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","",""
"Egalitarianism and Ed Justice
540","001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Ethical Theories
541","001","","24","3.717","62.5","12.5","20.8",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Great Moral Philosophers
549","001","","24","3.417","45.8","29.2","8.3","4.2","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"Philosophy of Mind
551","001","","29","3.536","51.7","17.2","13.8","10.3","3.4",".",".","3.4",".",".",".",".",".",".",".","."
"Aesthetics
553","001","","20","3.917","75.0","15.0",".",".",".",".",".","5.0",".",".",".",".","5.0",".",".","."
"555","001","","28","3.963","92.9",".","3.6",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"555","002","","25","3.760","68.0","16.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Political Philosophy","Course Total","","53","3.865","81.1","7.5","9.4",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"Metaphysics
560","001","","24","3.659","50.0","29.2","8.3",".","4.2",".",".",".",".",".",".",".","4.2","4.2",".","."
"562","001","","19","3.605","36.8","47.4","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"562","002","","16","3.406","43.8","43.8",".",".","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"Spec Topics in Metaphysics","Course Total","","35","3.514","40.0","45.7","8.6",".","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"599","045","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"599","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"681","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Senior Honors Thesis
682","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"701","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"701","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"701","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"701","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading Seminar","Course Total","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced History-Philosophy
835","001","","10","3.889","80.0",".","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Proseminar in Philosophy
902","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Philosophy
904","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Logic
911","001","","10","4.000","70.0",".",".",".",".",".",".",".",".",".",".",".","30.0",".",".","."
"Smr-Philosophy of Science
920","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","Page 323 of 481",""
