"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"","100
001","77","3.864","90.9","2.6","2.6","1.3","1.3",".","1.3",".",".",".",".",".",".",".",".","."
"","100
002","80","3.781","66.3","26.3","5.0","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"So You Want to Chng the World?","Course Total","157","3.822","78.3","14.6","3.8","1.9","0.6",".","0.6",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","105
001","37","3.703","70.3","10.8","13.5",".","5.4",".",".",".",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","205
001","75","3.727","58.7","30.7","8.0","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Social Policy","206
001","72","3.134","13.9","34.7","31.9","11.1","4.2",".","2.8",".",".",".",".",".",".",".","1.4","."
"","275
001","20","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
002","18","3.722","66.7","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Cont Issues-Social Welfare","Course Total","38","3.842","81.6","10.5","2.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Making Sense of MH & MI","336
001","25","3.060","16.0","28.0","32.0","16.0","4.0",".","4.0",".",".",".",".",".",".",".",".","."
"","400
001","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
003","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
004","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
005","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
023","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
041","14","3.679","71.4","21.4",".",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"","400
043","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
101","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr I","Course Total","113","3.920","90.3","7.1","1.8",".",".","0.9",".",".",".",".",".",".",".",".",".","."
"Poverty and Social Welfare","420
001","15","3.733","46.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Issues in Aging","422
001","20","3.969","75.0","5.0",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"","441
001","21","3.786","61.9","33.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
002","23","3.935","95.7",".",".","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","441
003","20","3.525","45.0","45.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","441
005","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
006","23","3.739","60.9","34.8",".",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","441
011","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"SW with Ind, Fams, and Grps","Course Total","115","3.813","74.8","20.9","1.7","0.9","0.9",".","0.9",".",".",".",".",".",".",".",".","."
"","442
002","27","3.870","85.2","7.4","3.7","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","442
003","19","3.763","89.5","5.3",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","442
004","25","3.840","80.0","12.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","442
005","30","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Genlst Pract w Comms & Orgs","Course Total","101","3.861","85.1","9.9","2.0","2.0",".",".","1.0",".",".",".",".",".",".",".",".","."
"Substance Use Disorders","453
001","54","3.694","66.7","22.2","3.7","5.6",".",".","1.9",".",".",".",".",".",".",".",".","."
"Child Welfare","462
001","22","3.905","81.8","9.1","4.5",".",".",".",".",".",".",".",".",".",".","4.5",".","."
"Interpersonal Violence","623
001","16","3.688","68.8","6.3","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Diversity Opp Soc Just in SW","640
001","69","3.669","50.7","39.1","4.3","2.9",".","1.4",".",".",".",".",".",".",".",".","1.4","."
"Issues in Dev. Disabilities","644
001","39","3.737","74.4","15.4",".","5.1",".",".","2.6",".",".",".",".",".","2.6",".",".","."
"Child Abuse and Neglect","646
001","24","3.708","83.3",".","4.2","8.3",".","4.2",".",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","675
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","Page 348 of 481",""
