"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Criminal Mind:Forensics/Scienc","526
001","188","3.888","86.2","8.0","3.7","1.6","0.5",".",".",".",".",".",".",".",".",".",".","."
"Cultural Psychology","528
001","168","3.738","67.3","22.6","6.5","2.4",".",".","1.2",".",".",".",".",".",".",".",".","."
"Psych Effects of the Internet","532
001","156","3.404","55.8","17.3","8.3","7.1","4.5","5.1","1.9",".",".",".",".",".",".",".",".","."
"","601
002","24","3.583","70.8","4.2","16.7","4.2",".",".","4.2",".",".",".",".",".",".",".",".","."
"","601
003","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
004","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
005","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
007","27","3.685","48.1","44.4","3.7","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","601
008","17","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
009","24","3.771","83.3","12.5",".",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"","601
010","21","3.857","85.7","4.8","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","601
013","16","3.719","68.8","6.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
016","25","3.340","68.0","8.0",".","12.0",".","4.0","8.0",".",".",".",".",".",".",".",".","."
"Current Topics - Psychology","Course Total","209","3.739","76.1","12.0","6.7","2.9",".","0.5","1.9",".",".",".",".",".",".",".",".","."
"Epigenetics and the Brain","603
001","26","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","607
001","24","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","607
002","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Psychotherapy","Course Total","48","3.885","81.3","14.6","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design&Anlys-Psych Expermnts I","610
001","44","3.372","54.5","11.4","9.1","6.8","11.4","4.5",".",".",".",".",".",".",".","2.3",".","."
"Neuropharmacology","612
001","24","3.826","83.3",".","8.3",".","4.2",".",".",".",".",".",".",".","4.2",".",".","."
"","621
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
008","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
009","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
010","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
014","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
015","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
020","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
022","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
035","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
039","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
040","15","3.963","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
045","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
047","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
050","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
053","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
058","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
061","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
064","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
065","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","Page 336 of 481",""
