"KINESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","",""
"Sports Sci & Athlete Monitor","Course Total","","38","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Promoting Community Health
566","001","","60","3.875","78.3","18.3","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Tchg-Health Education
568","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Exercise Psychology
600","001","","17","3.882","88.2",".","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biol Factors-Exercise Perf
614","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Practicm in Athl Train II
621","001","","20","3.800","65.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Athl Training Preceptorship I
624","001","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found Prof Pract in Athl Train
650","001","","20","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pub Hlth, Policy, and Pract
651","001","","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eval and Therapeutic Interv I
652","001","","20","3.575","40.0","35.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Med Athl Training I
654","001","","20","3.375","20.0","40.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Role Trans & Prof Pract in AT
657","001","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Enhance Performance & Wellness
670","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"HeaIth Informatics Qual Imprvm
673","001","","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship in Kinesiology
690","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","11","3.903","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","13","3.917","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Neural Basis for Movement
721","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cardiores Adapt-Envr&Exer
773","001","","19","3.632","52.6","21.1","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Research Ethics & RCR
862","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Kinesiology
900","001","","50","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pro Skills & Research in Kines
950","001","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Phys Activity Epidemiology
955","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","Page 114 of 481",""
