"GENDER AND WOMENS STUDIE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"963
GEN&WS","","","","","","","","","","","","","","","","","","","",""
"Women's Global Health
535","001","","31","3.733","71.0","19.4","3.2",".",".",".","3.2",".",".",".",".",".","3.2",".",".","."
"Topics in Gender and Health
539","001","","37","3.886","81.1","8.1","2.7","2.7",".",".",".",".",".",".",".",".","5.4",".",".","."
"Capstone Smr in Gender & Wm St
640","001","","14","3.923","78.6","14.3",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Senior Honors Thesis I
681","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis I","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Senior Thesis II
692","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study
699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Gender&Wmn Studies
720","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Emergence of GWS Field
810","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pedagogy - Gender & Women's St
840","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"950","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"950","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Smnr:Topic-Gen & Women","Course Total","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research & Thesis
990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research","Course Total","","5","***","","","","","","","","","","","","","","","",""
