"Multidis Appr Colon Cancer P/T","975
007","2","***","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","982
003","1","***","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","982
009","3","***","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Surgery Ed Teaching Elective","Course Total","4","***","","","","","","","","","","","","","","","","","","","","","","","",""
"936
SURGERY","Dept. Total","150","3.972","40.0","",".","1.3","",".","",".","",".","",".","57.3","",".",".","",".","",".","0.7",".","0.7","."
"Summary by Level","","#","Ave","A","AB","","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","12","4.000","91.7","",".",".","",".","",".","",".","",".",".","",".",".","",".","",".",".",".","8.3","."
"Junior","","17","3.946","94.1","",".","5.9","",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","34","3.975","94.1","",".","2.9","",".","",".","",".","",".",".","",".",".","",".","",".","2.9",".",".","."
"Undergraduates","","63","3.972","93.7","",".","3.2","",".","",".","",".","",".",".","",".",".","",".","",".","1.6",".","1.6","."
"Graduate","","1","***","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 4","","86","",".","",".",".","",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Professionals","","86","",".","",".",".","",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","Dept. Total","150","3.972","40.0","",".","1.3","",".","",".","",".","",".","57.3","",".",".","",".","",".","0.7",".","0.7","."
