"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"ASIAN LANGUAGES AND CULTU Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"185
ASIAN","","","","","","","","","","","","","","","","","","","","",""
"","100","001","","104","3.505","26.9","57.7","10.6","2.9",".","1.9",".",".",".",".",".",".",".",".",".","."
"","100","002","","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gateway to Asia Special Topics","","Course Total","","119","3.546","31.9","54.6","9.2","2.5",".","1.7",".",".",".",".",".",".",".",".",".","."
"Intro-E Asian History:China","103","001","","28","3.946","89.3","10.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art/Sci of Human Flourishing","120","001","","16","3.406","43.8","25.0","12.5","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"Asia Enchanted","236","001","","78","3.153","43.6","14.1","15.4","5.1","9.0","2.6","6.4","1.3",".",".",".",".",".","2.6",".","."
"SE Asia:Vietnam to Philipns","244","001","","16","3.656","50.0","37.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro East Asian Civilizations","255","001","","40","3.735","70.0","7.5",".","2.5","2.5",".","2.5","15.0",".",".",".",".",".",".",".","."
"Religion in South Asia","274","001","","19","3.667","52.6","15.8",".","5.3","5.3",".",".","21.1",".",".",".",".",".",".",".","."
"","300","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","006","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Topics in Asian Studies","","Course Total","","16","3.733","75.0","12.5",".",".",".","6.3",".",".",".",".",".",".","6.3",".",".","."
"Social Sci in Asian Studies","301","002","","12","3.300","25.0","33.3","16.7",".",".","8.3",".",".",".",".",".",".",".","16.7",".","."
"A Survey of Tibetan Buddhism","307","001","","66","3.962","92.4","4.5","1.5",".",".",".",".",".",".",".",".",".",".",".","1.5","."
"Introduction to Buddhism","308","001","","13","3.615","84.6",".",".",".","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"The Vietnam Wars","319","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Gender, Work, Family: E. Asia","334","001","","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey Classical Chinese Lit","351","001","","22","3.091","36.4","13.6","13.6","22.7","9.1",".","4.5",".",".",".",".",".",".",".",".","."
"","360","001","","24","3.417","58.3","16.7","8.3","8.3",".","4.2","4.2",".",".",".",".",".",".",".",".","."
"","360","003","","53","3.877","86.8","5.7","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Asian Literature","","Course Total","","77","3.734","77.9","9.1","5.2","5.2",".","1.3","1.3",".",".",".",".",".",".",".",".","."
"Survey of Chinese Film","375","001","","22","3.545","54.5","18.2","13.6","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"Cities of Asia","379","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Japanese Linguistics","434","001","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Sufism","444","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Samurai: History and Image","454","001","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist SE Asia Since 1800","458","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Meditation Buddhism & Hinduism","473","001","","12","3.773","58.3","25.0","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Readings in Early Mod Jpn Lit","533","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","630","002","","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630","003","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar: Cultures of Asia","","Course Total","","23","3.848","69.6","30.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History-Chinese Literature I","641","001","","8","3.438","50.0","12.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","698","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
