"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"","372
003","","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Science","Course Total","","97","3.922","92.8","4.1",".","1.0",".",".","1.0",".",".",".",".",".","1.0",".",".","."
"Elem Teaching Practicum III","373
001","","26","",".",".",".",".",".",".",".",".",".","96.2",".",".",".",".",".","."
"Teaching Science-Sec Schl","390
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teach Secondary Schl Math I","393
001","","13","4.000","84.6",".",".",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"Teaching of English","396
001","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Education for Sustainable Cmty","405
001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Race, Intersection & Equity","406
001","","133","3.955","93.2","5.3","0.8","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"Preparing to Teach Abroad","418
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","432
001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","432
002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Game Design II","Course Total","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Teaching World Lang-PK-8","442
002","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching World Lang(6-12)","443
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Tch-His&Soc St Mid Sch","458
001","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tchg Hist&Soc St in HS","459
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar - Elementary Education","463
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Tchg in Elem School","464
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching Engl-Mid Schl","472
001","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach-Science in H.S.","490
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Student Teaching in HS Math","494
001","","7","",".",".",".",".",".",".",".",".",".","85.7",".",".",".",".",".","."
"Stdt Teach Sci-MiddleSchl","495
001","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching-English in HS","496
001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach-Middle Schl Math","497
001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","506
001","","48","3.792","85.4",".","10.4",".","2.1","2.1",".",".",".",".",".",".",".",".",".","."
"","506
002","","41","3.902","92.7",".","4.9",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","Course Total","","89","3.843","88.8",".","7.9",".","2.2","1.1",".",".",".",".",".",".",".",".",".","."
"Inclusive Education-Secondary","507
001","","90","3.955","93.3","2.2","3.3",".",".",".",".",".",".",".",".",".","1.1",".",".","."
"School-Based Practicum","511
007","","89","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Teaching World Languages I","545
001","","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Methds&Matls-Early Childhd Edu","550
001","","31","3.806","80.6","6.5","9.7",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"Topics in Game Design","576
001","","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","620
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Dev School & Community","630
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Foundations of Early Child Ed","660
001","","42","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lrng Envr-Initial Ed Progm","663
001","","45","3.978","95.6","4.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","673
001","","31","3.879","74.2","16.1","3.2",".",".",".",".",".",".",".",".",".","6.5",".",".","."
"","673
002","","30","3.914","86.7","3.3","6.7",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"","673
003","","30","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","Page 91 of 481",""
